"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,11,2,5,21,21,1,2,14,20,9,21,11,11,13,11,7,13,1
"2",15,14,17,16,16,15,16,16,15,19,16,4,13,16,19,6,8,5,7
"3",9,19,19,18,20,6,19,14,21,13,14,20,4,10,10,15,17,12,16
"4",11,12,1,11,11,2,20,21,1,11,12,11,21,21,11,21,1,2,2
"5",20,16,6,14,15,9,15,5,17,6,10,17,18,5,5,4,3,15,12
"6",3,3,15,7,4,8,17,6,10,16,17,6,16,15,6,19,6,14,15
"7",10,17,14,3,6,4,5,7,16,8,20,13,7,4,17,14,5,4,8
"8",16,13,5,15,8,5,7,4,4,18,5,3,15,8,16,16,16,9,17
"9",1,7,11,21,10,1,21,11,12,1,11,1,12,1,21,10,21,21,11
"10",14,20,9,2,14,20,12,9,9,14,19,14,20,19,15,9,19,18,19
"11",7,8,16,6,18,13,14,17,5,7,4,15,17,6,18,17,14,16,5
"12",18,5,13,8,7,17,18,12,3,3,6,19,5,13,14,8,4,6,18
"13",6,6,8,17,5,16,4,13,18,15,7,16,19,18,4,13,15,3,9
"14",4,21,4,19,1,12,11,10,8,12,2,8,2,12,20,1,2,11,6
"15",8,9,10,1,19,10,8,3,2,5,15,2,3,20,7,5,13,7,10
"16",21,10,12,13,2,3,9,19,7,17,18,18,6,9,3,7,12,19,4
"17",12,1,21,12,13,11,13,1,11,21,1,12,1,2,1,12,11,1,21
"18",5,15,20,9,3,18,6,20,13,4,13,10,14,7,8,2,20,8,20
"19",19,2,7,20,17,19,2,15,6,10,21,9,10,3,9,20,9,10,13
"20",13,18,3,4,9,14,10,18,20,2,8,5,8,14,2,18,10,20,14
"21",17,4,18,10,12,7,3,8,19,9,3,7,9,17,12,3,18,17,3
