"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",6,2,5,17,17,9,6,11
"2",3,8,12,2,14,2,2,2
"3",12,13,3,20,12,19,1,17
"4",16,19,16,16,1,1,5,14
"5",11,17,10,4,18,7,9,20
"6",13,5,17,7,13,8,15,7
"7",4,21,18,12,11,10,20,18
"8",7,7,21,21,4,5,13,21
"9",19,20,6,8,16,21,14,1
"10",2,18,9,18,7,13,11,6
"11",5,11,15,6,5,20,7,10
"12",20,4,8,9,6,12,3,19
"13",15,9,13,14,15,14,12,16
"14",9,15,20,11,20,15,4,5
"15",10,3,11,15,2,18,18,3
"16",21,12,14,19,19,4,19,9
"17",18,1,19,1,10,17,10,12
"18",14,16,4,3,3,11,21,8
"19",1,6,2,5,21,16,17,15
"20",17,10,1,13,8,6,8,4
"21",8,14,7,10,9,3,16,13
