"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",12,7,13,15,13,5,7,12,6,4,7,14
"2",8,17,18,10,18,7,1,10,18,1,1,1
"3",1,11,14,1,14,17,9,2,2,11,3,11
"4",2,6,3,12,6,13,13,16,13,3,2,12
"5",14,2,12,2,17,9,18,17,14,13,10,17
"6",9,14,6,16,15,16,11,13,15,10,12,6
"7",5,9,15,4,2,4,8,15,12,8,14,4
"8",7,4,9,17,3,8,14,7,3,12,5,2
"9",10,1,7,3,5,18,2,9,5,2,13,10
"10",13,12,8,5,8,3,15,3,16,5,6,8
"11",3,3,2,9,16,2,6,6,10,17,9,7
"12",15,10,5,6,10,12,4,14,7,15,4,3
"13",16,5,17,11,12,15,16,5,8,7,17,5
"14",4,15,4,7,11,6,17,11,4,9,16,16
"15",17,18,10,14,7,1,10,18,1,18,18,9
"16",18,13,1,18,1,10,5,1,9,6,11,18
"17",11,16,16,8,4,14,12,8,11,16,8,15
"18",6,8,11,13,9,11,3,4,17,14,15,13
