"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",18,17,22,23,18,23,3,22,7,18,11,23,6,10,19,16,6,6,9,22,18
"2",3,10,10,7,5,18,4,7,18,22,8,22,21,18,21,8,23,17,11,23,11
"3",20,25,5,21,3,2,10,24,16,12,7,16,16,2,23,25,20,11,15,6,14
"4",5,7,7,24,7,10,15,3,9,11,17,7,4,5,5,11,21,9,6,21,20
"5",2,13,25,20,1,17,13,20,2,2,10,2,15,13,2,12,2,18,13,4,5
"6",16,18,19,9,6,20,21,19,17,5,24,20,7,22,9,6,19,12,7,5,23
"7",15,11,2,13,25,25,25,15,13,26,1,6,14,14,1,26,16,14,1,26,17
"8",25,2,26,25,24,16,17,13,15,3,19,14,26,20,24,2,14,1,14,20,13
"9",11,9,18,5,16,5,12,25,19,4,3,10,5,16,12,18,25,3,17,25,3
"10",8,22,21,6,11,19,18,6,6,9,6,5,23,12,22,21,15,7,23,10,21
"11",17,3,23,3,4,3,8,8,8,23,18,9,12,21,10,20,10,24,10,9,16
"12",14,14,14,26,15,26,14,1,26,19,14,13,13,25,26,13,26,26,26,1,26
"13",7,20,9,22,17,7,22,10,11,20,4,12,18,24,11,5,5,4,8,7,7
"14",23,8,8,15,8,6,24,18,3,10,12,18,24,23,14,17,7,19,22,24,24
"15",21,5,12,8,21,11,23,21,4,21,21,3,11,9,20,9,24,10,20,8,9
"16",22,6,20,18,19,15,20,4,20,15,9,21,19,8,7,19,18,23,4,11,4
"17",13,19,24,12,12,9,2,26,10,24,16,15,25,3,4,4,17,16,25,16,2
"18",10,1,15,14,26,14,7,9,1,14,2,25,3,1,13,1,12,15,16,2,25
"19",4,12,17,17,2,12,19,12,23,25,25,19,9,4,16,23,3,2,24,15,15
"20",1,16,1,1,13,1,26,14,12,13,26,26,1,11,25,14,13,25,12,13,1
"21",12,4,4,11,10,24,5,16,24,8,20,11,22,6,17,15,9,5,5,3,6
"22",6,24,16,16,23,4,11,23,21,16,23,4,20,17,18,10,11,20,3,18,22
"23",26,26,13,10,14,13,1,2,14,1,13,1,2,26,15,24,1,13,2,14,10
"24",19,15,3,4,22,8,9,5,22,6,15,24,17,15,3,7,4,8,21,12,19
"25",9,21,6,19,20,22,6,11,5,7,22,17,10,19,8,22,22,21,19,17,8
"26",24,23,11,2,9,21,16,17,25,17,5,8,8,7,6,3,8,22,18,19,12
