"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",2,8,15,9,21,20,3,23,10,16,18,17,3,10,11,15,8,7,6,7,2,21
"2",23,2,1,12,12,24,1,15,2,1,14,13,12,13,1,1,24,2,13,3,13,13
"3",7,4,5,6,17,15,20,6,3,17,15,14,10,20,20,20,5,22,18,18,6,9
"4",10,9,18,13,5,5,14,2,23,18,5,23,15,14,4,11,3,3,22,5,5,11
"5",11,15,14,3,10,3,2,9,6,5,17,5,22,16,17,10,4,4,5,15,21,6
"6",4,17,19,7,16,2,22,16,14,20,22,4,4,19,3,8,19,17,16,9,16,14
"7",21,16,6,21,18,8,21,5,18,9,21,16,17,15,22,5,14,8,3,8,7,18
"8",12,1,12,23,1,12,24,12,13,24,24,1,13,2,12,24,13,1,12,12,1,1
"9",14,13,21,2,3,14,5,7,19,19,16,19,9,5,18,3,23,10,17,21,14,22
"10",6,14,24,11,11,22,17,19,22,6,10,3,11,3,24,23,2,13,2,13,9,17
"11",13,24,13,24,13,1,12,1,1,13,12,12,1,1,2,13,12,24,1,24,12,23
"12",24,12,2,1,24,11,13,13,12,12,1,2,24,24,13,14,1,12,19,1,11,24
"13",8,5,20,22,8,17,16,8,15,4,13,18,21,22,10,17,20,20,9,4,20,19
"14",5,21,10,15,22,21,9,11,24,23,2,11,14,21,19,12,16,5,11,22,23,16
"15",22,3,23,10,23,6,15,10,17,15,6,10,8,11,9,2,10,19,4,17,22,3
"16",9,6,8,19,20,4,4,18,21,8,19,8,18,7,8,16,21,15,21,20,10,8
"17",18,10,9,4,14,9,18,21,4,21,4,20,20,6,5,21,18,9,7,16,18,15
"18",15,18,4,18,7,7,6,22,20,22,11,15,5,18,14,22,6,16,8,2,15,5
"19",19,7,16,17,4,10,8,20,5,7,3,7,6,17,21,9,17,21,15,14,3,20
"20",20,23,11,8,2,23,10,17,16,14,20,22,23,12,23,18,11,23,23,11,19,10
"21",16,22,22,14,15,16,11,24,8,3,23,21,16,23,7,7,7,11,14,19,8,2
"22",3,19,3,5,6,18,7,4,11,11,7,9,19,4,6,4,15,18,10,10,4,7
"23",1,11,7,20,9,13,23,14,9,2,8,24,2,9,16,6,9,14,24,23,24,12
"24",17,20,17,16,19,19,19,3,7,10,9,6,7,8,15,19,22,6,20,6,17,4
