"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",20,8,10,14,16,5,5,17,5,4,15,16,7,2,4,6,15,15,7,6
"2",18,14,20,20,19,4,15,10,20,15,16,13,10,18,14,15,4,5,6,3
"3",19,17,14,17,8,8,13,19,15,7,18,5,18,6,15,17,19,19,17,17
"4",4,7,8,15,14,20,7,20,21,19,10,6,16,8,16,4,3,7,8,14
"5",2,5,16,3,13,6,8,6,17,14,5,9,8,14,5,19,20,20,3,13
"6",7,16,17,4,3,17,18,18,14,6,8,14,17,17,3,8,5,17,9,7
"7",16,3,3,8,9,10,19,14,18,18,7,19,14,5,7,10,21,6,18,4
"8",9,4,9,2,21,11,2,13,22,1,19,12,20,21,10,13,9,13,22,18
"9",5,18,5,6,17,7,16,5,9,3,9,15,6,4,18,18,6,8,15,15
"10",3,9,13,5,2,2,14,15,2,13,21,2,9,10,20,9,11,2,21,8
"11",14,2,22,9,15,18,20,2,8,5,17,7,22,12,21,11,18,9,5,10
"12",6,15,4,13,10,19,11,8,3,16,20,17,21,7,9,20,10,18,1,2
"13",21,1,11,12,1,12,12,12,11,22,12,22,1,22,22,22,1,22,10,11
"14",15,6,6,18,6,14,17,16,4,9,3,4,5,15,8,16,7,10,4,20
"15",10,13,2,16,18,16,9,7,16,10,6,3,3,20,19,7,16,16,20,5
"16",11,22,1,11,22,1,22,22,1,12,11,11,12,13,12,1,22,21,11,22
"17",13,20,15,7,4,15,3,9,19,8,14,20,4,9,13,2,14,4,2,16
"18",8,19,7,19,5,9,4,3,6,20,13,8,15,19,2,14,17,3,13,9
"19",22,21,12,1,11,22,1,1,12,11,1,1,11,1,11,12,2,11,12,1
"20",12,11,19,21,20,21,10,21,10,2,2,21,13,11,6,21,13,1,19,12
"21",1,12,21,22,12,13,21,11,13,21,22,10,2,3,1,3,12,12,14,21
"22",17,10,18,10,7,3,6,4,7,17,4,18,19,16,17,5,8,14,16,19
