"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",14,10,17,13,9,1,1,1,1,8
"2",2,11,6,15,12,8,12,14,3,13
"3",6,1,12,11,14,19,6,6,4,20
"4",12,5,11,17,6,7,5,9,15,14
"5",4,13,20,19,3,17,4,12,8,3
"6",5,6,13,9,8,5,17,17,10,4
"7",7,3,1,20,18,2,9,20,20,10
"8",17,7,9,18,17,14,14,3,7,6
"9",13,9,5,7,19,15,2,16,11,16
"10",16,15,14,12,15,10,7,15,18,2
"11",9,17,10,5,5,13,8,19,5,9
"12",19,4,18,3,11,16,11,13,13,11
"13",8,18,19,14,20,11,19,7,12,12
"14",18,16,2,10,4,4,10,5,9,15
"15",11,14,15,1,16,3,16,11,6,18
"16",1,19,7,2,13,6,3,4,14,5
"17",15,2,4,4,1,9,20,10,2,1
"18",3,8,16,6,2,12,13,2,19,17
"19",20,20,8,16,7,20,18,18,16,19
"20",10,12,3,8,10,18,15,8,17,7
