"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",11,17,5,8,19,5,1,28,11
"2",27,26,3,2,23,23,14,23,24
"3",19,25,25,28,13,12,3,21,5
"4",2,21,28,4,11,4,20,16,19
"5",24,13,15,6,5,14,22,25,7
"6",23,22,11,16,27,8,16,17,13
"7",20,1,4,11,8,1,18,10,1
"8",18,7,23,3,22,11,26,12,14
"9",13,8,20,17,9,6,13,22,17
"10",25,20,21,18,10,22,28,5,3
"11",14,5,6,24,25,21,7,15,6
"12",9,27,18,22,24,2,23,3,8
"13",22,4,19,9,2,25,2,18,20
"14",3,14,22,12,26,13,4,8,23
"15",21,15,8,27,20,18,21,7,18
"16",6,2,13,26,17,9,27,24,22
"17",12,24,7,13,3,15,25,14,27
"18",28,3,27,14,18,16,10,1,10
"19",26,12,16,23,15,3,6,13,26
"20",7,19,17,10,21,17,12,20,2
"21",1,28,10,19,7,19,5,26,15
"22",10,6,12,7,12,20,17,4,25
"23",5,9,9,1,1,7,9,6,4
"24",8,16,24,25,4,24,15,11,12
"25",17,18,1,21,6,10,11,2,21
"26",4,11,2,15,14,26,24,19,9
"27",15,23,14,5,16,27,8,9,16
"28",16,10,26,20,28,28,19,27,28
