"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",17,19,28,23,4,20,26,22,28,12,22,6,4,4,29,6,22,14,22,13,20,26,13
"2",18,23,5,8,27,13,11,11,29,11,28,13,11,14,18,27,24,26,4,6,22,7,3
"3",23,17,12,12,24,5,24,4,25,4,19,8,23,7,11,8,5,28,10,24,14,22,22
"4",25,29,16,18,1,27,28,1,17,6,17,18,8,26,8,29,17,3,14,11,9,17,2
"5",16,24,15,14,11,2,2,28,19,29,4,4,29,2,13,20,25,4,16,10,19,8,23
"6",3,12,25,19,17,9,23,18,18,9,2,20,3,9,25,25,4,21,11,8,8,4,26
"7",6,3,2,17,15,29,29,5,15,18,26,28,21,1,23,15,30,30,17,2,24,16,16
"8",10,10,13,5,7,10,22,20,12,27,21,26,6,28,10,7,27,20,9,23,18,9,5
"9",19,7,6,26,6,19,4,10,20,7,13,25,28,12,22,5,19,8,6,22,7,5,17
"10",28,2,3,9,2,3,13,21,16,15,14,9,15,18,30,23,28,17,15,28,2,25,29
"11",29,21,29,16,21,28,1,16,14,14,9,2,17,29,19,2,3,18,8,20,30,10,8
"12",24,8,24,6,13,11,7,27,11,8,27,10,25,23,24,12,7,7,21,5,13,18,6
"13",14,27,26,4,9,23,17,17,8,2,24,24,16,5,17,21,11,6,5,27,25,21,27
"14",27,18,27,21,10,7,8,8,7,23,23,19,20,8,5,22,23,25,26,19,6,11,11
"15",8,9,23,7,22,25,21,12,22,20,6,11,19,10,6,13,26,5,3,12,4,27,9
"16",30,1,17,29,12,30,19,13,30,30,29,15,12,15,14,10,1,11,28,16,16,2,30
"17",5,28,22,11,26,8,6,6,21,19,12,21,9,24,26,9,21,10,27,21,21,19,25
"18",26,6,18,20,23,18,3,29,24,24,20,23,5,17,4,19,12,19,7,3,26,24,19
"19",20,13,21,27,28,17,15,26,13,3,3,29,18,27,16,30,29,29,29,17,15,29,18
"20",21,26,11,3,18,24,27,24,27,22,7,22,22,19,27,18,13,23,23,26,11,6,10
"21",11,5,10,22,25,21,9,9,9,26,5,7,7,3,20,26,8,13,19,25,12,20,4
"22",22,16,1,1,14,6,16,2,3,25,1,17,2,16,21,1,14,2,13,15,29,30,14
"23",4,25,8,24,19,22,10,19,6,21,25,12,26,25,12,4,18,22,12,9,10,28,28
"24",15,30,14,13,29,12,14,23,2,17,16,30,14,6,2,3,2,9,18,1,5,1,12
"25",9,20,7,25,8,4,18,14,23,13,10,27,24,21,9,24,6,12,25,7,27,23,7
"26",2,15,9,15,16,15,12,15,26,1,30,1,1,30,1,17,15,1,30,29,1,14,15
"27",7,11,4,10,3,26,5,25,4,5,8,14,10,11,7,11,9,24,24,14,23,12,21
"28",1,14,30,30,30,1,30,30,1,16,15,16,30,13,15,16,16,15,1,30,17,15,1
"29",13,22,19,28,5,14,20,3,10,28,11,5,13,22,28,14,10,27,2,4,3,13,20
"30",12,4,20,2,20,16,25,7,5,10,18,3,27,20,3,28,20,16,20,18,28,3,24
