"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",20,8,21,7,5,9,24,12,21,18,12
"2",4,21,25,13,8,23,16,8,17,23,8
"3",3,18,3,12,21,7,25,13,1,2,20
"4",2,4,11,25,6,16,15,25,3,15,14
"5",1,14,18,8,10,19,4,5,26,12,24
"6",12,23,23,24,14,17,19,16,24,6,17
"7",10,5,22,18,20,12,8,9,9,17,22
"8",24,15,4,17,3,13,11,22,23,22,21
"9",17,3,7,20,9,4,17,10,16,4,25
"10",16,13,24,11,26,5,18,23,5,13,9
"11",13,10,5,6,13,18,12,11,4,25,4
"12",26,11,17,23,15,1,21,4,7,24,15
"13",6,12,6,22,25,21,2,15,15,19,11
"14",23,17,12,5,23,15,14,7,14,7,13
"15",15,1,13,16,22,20,26,1,25,21,2
"16",22,19,20,21,1,26,9,14,2,9,1
"17",11,25,9,15,4,10,3,3,6,5,10
"18",18,9,16,14,19,24,6,24,18,3,16
"19",14,20,14,4,7,3,5,17,11,20,18
"20",19,22,2,26,18,6,7,6,20,14,5
"21",8,16,15,19,11,11,23,21,13,11,3
"22",25,2,26,1,12,14,1,20,10,1,6
"23",21,24,8,9,17,22,22,19,8,16,23
"24",9,7,1,3,2,25,20,2,12,10,19
"25",5,6,10,10,16,2,10,18,22,8,7
"26",7,26,19,2,24,8,13,26,19,26,26
