"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",17,8,12,5,14,17,5,3,18,9,16,16,16,18,8
"2",21,11,1,19,1,12,9,6,11,12,20,21,6,14,21
"3",11,21,21,1,13,1,11,12,13,1,21,1,11,21,1
"4",5,19,6,10,15,7,6,5,15,16,5,7,7,16,14
"5",7,17,19,7,5,10,19,4,4,6,15,13,14,13,17
"6",19,2,18,8,20,8,8,18,12,14,14,4,19,8,16
"7",4,6,4,3,7,13,12,17,17,5,17,9,4,6,13
"8",15,9,5,15,16,16,17,15,7,3,9,5,12,17,18
"9",13,10,15,6,4,4,15,19,9,17,6,17,2,19,12
"10",14,14,10,2,3,19,4,8,2,20,11,3,9,3,15
"11",9,5,17,18,6,15,13,7,16,18,8,6,15,12,4
"12",8,15,3,4,18,14,10,14,3,15,2,19,18,10,5
"13",16,16,7,16,10,6,18,13,14,19,19,14,17,5,10
"14",1,1,11,11,21,21,21,10,8,21,18,12,3,15,6
"15",3,12,9,20,9,9,1,20,5,11,13,8,21,20,2
"16",6,7,16,17,17,5,7,9,6,4,12,18,8,4,9
"17",2,20,14,13,12,20,14,21,19,13,10,20,13,1,20
"18",20,3,2,9,11,3,16,2,1,10,7,10,10,2,3
"19",10,4,8,12,2,2,2,11,20,2,3,15,20,11,19
"20",18,18,20,14,8,18,3,16,10,7,4,11,5,9,7
"21",12,13,13,21,19,11,20,1,21,8,1,2,1,7,11
