"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1,1,8,9,14,1,8,7,1,1
"2",10,5,5,11,12,11,11,7,10,5,13
"3",2,11,3,5,6,9,10,3,4,9,11
"4",6,12,13,12,5,13,12,10,9,13,4
"5",8,15,14,7,1,8,6,5,15,2,14
"6",5,4,12,6,10,5,4,12,8,11,12
"7",13,10,9,15,4,10,2,13,6,4,10
"8",9,2,15,14,8,1,14,1,2,7,9
"9",7,8,8,1,15,15,8,15,1,15,15
"10",4,9,7,13,14,6,3,2,13,8,3
"11",12,13,11,4,13,3,9,9,5,6,2
"12",3,7,6,3,2,2,13,11,11,3,7
"13",14,3,10,2,7,12,7,4,12,10,6
"14",11,6,4,10,3,4,5,6,3,14,5
"15",15,14,2,9,11,7,15,14,14,12,8
