"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",19,17,23,22,4,10,19,19,16,20,16,3,3,4,3,8,12,17,19,9,10,7,21,18
"2",3,9,17,23,21,5,14,11,17,5,15,8,8,22,24,9,3,6,11,15,3,16,23,3
"3",5,23,5,6,22,16,3,17,19,11,10,19,10,7,18,6,4,18,17,16,23,5,16,21
"4",22,20,20,20,23,21,24,5,18,16,14,16,12,16,8,19,23,8,8,8,24,4,11,7
"5",11,15,22,3,17,17,17,6,3,19,20,22,18,17,22,10,18,4,20,19,18,21,20,19
"6",4,3,15,19,11,3,22,16,4,14,17,17,19,5,4,11,6,16,7,21,22,24,5,11
"7",18,16,4,24,2,12,11,8,23,10,11,23,22,21,9,20,8,20,21,18,16,17,4,4
"8",1,12,24,25,15,14,12,14,1,2,2,14,7,11,12,14,22,25,14,2,14,1,3,24
"9",25,25,11,1,13,25,13,25,12,13,18,1,14,13,2,25,1,2,13,17,12,14,2,25
"10",24,2,1,17,5,2,4,4,2,21,5,11,13,12,14,7,11,3,15,11,19,12,18,2
"11",21,21,18,4,6,4,5,15,5,7,23,18,11,20,23,17,15,19,4,10,6,11,7,17
"12",17,6,9,18,20,8,16,2,11,15,7,4,21,15,19,5,20,21,5,20,7,6,8,22
"13",13,14,12,13,25,13,1,13,25,25,13,2,25,1,25,13,14,1,1,1,25,13,1,13
"14",7,7,3,21,8,18,10,20,10,9,19,21,23,6,20,23,19,5,10,6,9,8,17,9
"15",9,22,8,15,19,7,18,22,9,23,21,9,5,19,17,22,9,23,16,4,20,20,10,8
"16",12,4,6,10,7,23,9,12,22,17,22,10,6,23,6,12,24,24,9,23,17,9,24,16
"17",14,1,25,14,18,15,2,1,13,12,1,25,1,25,1,24,13,15,12,13,1,25,14,14
"18",15,24,14,16,12,22,23,9,6,1,8,15,24,24,16,2,2,14,23,5,11,10,25,15
"19",10,8,19,5,10,20,6,7,8,22,12,5,4,8,15,18,7,11,22,22,5,3,6,6
"20",16,11,10,7,9,6,20,10,21,18,4,20,9,9,10,21,5,7,3,3,8,22,19,23
"21",8,10,21,8,3,19,8,23,15,4,6,7,20,18,7,4,10,10,6,7,21,18,9,20
"22",20,19,7,11,24,9,7,21,7,3,9,12,17,10,5,15,21,9,18,24,4,23,22,10
"23",23,5,16,9,16,24,21,18,20,8,3,6,16,3,21,16,17,22,24,12,15,19,15,5
"24",2,13,13,12,1,1,15,24,24,24,25,24,15,14,13,1,25,13,25,14,2,2,13,12
"25",6,18,2,2,14,11,25,3,14,6,24,13,2,2,11,3,16,12,2,25,13,15,12,1
