"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",21,8,21,11,6,18,25,18,27,25,11,7
"2",15,23,1,8,12,1,6,21,19,28,27,11
"3",17,14,14,4,23,23,18,24,22,2,21,4
"4",11,20,22,20,22,3,17,17,12,23,13,28
"5",5,16,19,24,13,13,24,23,14,5,3,12
"6",28,11,25,1,17,4,26,2,10,13,28,1
"7",12,24,10,10,18,21,27,6,17,7,12,20
"8",13,3,11,25,4,9,2,27,16,18,15,3
"9",16,4,28,27,10,28,22,10,3,1,16,25
"10",27,27,9,21,9,19,15,20,9,10,18,9
"11",10,22,17,6,3,10,21,16,1,14,23,17
"12",25,19,20,9,28,27,5,28,5,9,10,15
"13",19,10,7,14,15,5,19,25,4,17,6,19
"14",9,12,4,28,24,20,4,19,28,12,4,26
"15",8,15,24,15,14,22,3,8,7,20,22,8
"16",6,9,15,19,8,2,8,4,26,8,19,16
"17",26,13,13,5,11,12,7,11,15,22,9,24
"18",22,6,18,22,19,25,11,15,18,15,26,18
"19",20,17,3,13,5,16,13,1,13,6,24,27
"20",3,7,5,7,20,7,10,14,6,4,14,6
"21",24,18,6,26,25,8,23,7,24,21,20,13
"22",2,21,2,18,7,26,20,12,21,16,8,2
"23",18,25,16,23,21,15,9,3,2,26,5,5
"24",23,28,23,16,2,6,1,13,23,3,1,21
"25",14,2,26,12,26,11,14,9,20,11,7,10
"26",4,26,27,2,16,17,12,26,25,19,17,22
"27",7,5,8,3,1,24,16,5,11,24,2,14
"28",1,1,12,17,27,14,28,22,8,27,25,23
