"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,13,24,1,12,12,2,1,15,3,11,23,1,1,2,6,12,13
"2",24,23,8,13,24,14,1,12,10,23,13,1,14,23,22,2,1,12
"3",23,14,3,21,14,20,11,23,6,5,8,6,3,19,14,20,13,18
"4",5,20,7,4,16,11,18,8,4,4,15,15,19,10,21,17,22,16
"5",18,19,12,9,17,6,15,5,14,20,6,4,6,6,4,21,16,4
"6",15,24,23,2,1,16,13,11,19,11,23,2,23,13,12,23,11,23
"7",21,22,19,18,10,4,6,19,2,15,14,22,22,4,15,14,17,8
"8",20,8,4,6,11,18,17,9,7,14,2,20,21,15,6,7,5,5
"9",9,5,22,7,19,22,10,2,9,19,20,18,15,21,16,19,15,9
"10",12,12,14,24,23,1,12,10,23,1,1,13,24,24,24,12,14,1
"11",6,4,21,17,18,3,16,18,11,6,5,3,17,9,11,3,7,15
"12",10,18,9,15,3,2,20,15,8,10,22,21,5,22,3,16,8,14
"13",3,9,10,12,5,9,3,20,16,22,3,16,20,18,9,22,18,19
"14",17,15,20,5,21,8,22,22,21,16,10,17,7,16,17,11,3,17
"15",11,6,6,3,9,5,8,16,17,12,16,5,4,17,19,4,20,6
"16",4,21,18,19,7,19,19,4,22,13,9,7,13,20,8,9,21,10
"17",16,3,11,20,4,15,7,6,18,7,7,19,10,8,20,18,4,11
"18",22,11,13,10,2,24,23,24,13,2,24,14,12,7,13,1,23,7
"19",19,7,17,16,22,10,4,7,5,8,21,10,9,14,5,8,19,21
"20",7,16,5,11,20,17,5,21,20,9,18,9,16,3,7,15,6,3
"21",8,17,16,8,6,21,9,14,3,17,4,11,8,5,23,5,10,22
"22",14,10,2,22,8,7,21,3,12,21,19,8,18,2,18,10,9,20
"23",2,2,15,23,13,13,24,13,1,18,17,12,2,12,10,24,2,2
"24",13,1,1,14,15,23,14,17,24,24,12,24,11,11,1,13,24,24
