"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,26,21,18,6,22,26,1,1,12
"2",10,5,7,3,19,23,16,4,20,15
"3",11,2,22,25,26,6,11,5,6,6
"4",24,14,23,2,9,5,18,19,3,16
"5",7,19,6,23,2,3,2,11,12,14
"6",19,24,25,11,4,15,8,8,19,19
"7",12,16,2,26,8,20,10,23,22,21
"8",15,3,16,7,10,21,3,12,5,26
"9",18,20,10,6,1,25,21,17,26,5
"10",23,8,15,15,25,17,1,26,24,17
"11",13,17,20,8,22,10,25,14,17,13
"12",4,15,3,12,24,18,19,10,4,1
"13",17,10,8,20,20,13,7,18,2,11
"14",21,9,13,24,11,19,23,9,15,8
"15",8,12,24,13,16,24,5,21,14,4
"16",26,4,5,17,7,9,12,15,18,3
"17",22,21,1,4,14,11,4,3,8,7
"18",14,11,9,14,5,7,20,2,13,24
"19",25,18,19,19,21,26,13,7,11,22
"20",2,25,11,1,23,8,6,20,16,25
"21",20,1,4,10,18,1,24,22,9,20
"22",16,23,17,21,17,4,17,25,21,2
"23",3,13,14,9,12,2,9,6,23,10
"24",6,7,18,5,3,14,14,24,10,9
"25",9,22,12,16,13,16,15,16,7,18
"26",5,6,26,22,15,12,22,13,25,23
