"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",16,15,7,4,4,9,7,6,18,5,14,16,6,8,17,7,6
"2",5,3,1,6,10,21,19,11,19,12,20,3,13,9,9,3,7
"3",19,8,8,13,9,16,2,20,8,20,15,17,18,15,14,2,9
"4",2,12,21,10,11,10,9,1,1,21,21,11,8,1,13,20,1
"5",10,9,13,19,5,19,12,7,16,18,3,7,20,4,19,16,8
"6",17,19,6,12,15,4,17,4,6,13,5,4,14,13,15,15,4
"7",13,13,5,18,16,17,15,9,3,15,19,18,3,7,4,10,14
"8",21,11,9,21,2,2,20,12,21,14,11,14,10,21,10,21,20
"9",18,21,14,1,20,12,3,10,11,10,18,1,21,2,11,12,21
"10",20,10,18,20,13,11,13,19,13,3,6,2,5,10,2,4,2
"11",8,4,4,14,19,13,8,8,14,7,13,13,17,20,3,18,3
"12",12,17,2,5,8,20,11,21,10,6,2,10,2,16,12,19,19
"13",15,5,20,3,7,5,14,15,5,8,9,19,16,5,7,17,10
"14",4,14,16,15,6,6,16,5,9,4,17,8,19,17,8,6,15
"15",14,2,17,8,17,8,18,17,15,17,16,9,4,18,18,13,12
"16",6,18,10,9,18,7,10,18,17,19,4,15,15,6,6,5,17
"17",9,16,15,7,3,15,4,14,4,16,8,5,9,19,5,9,5
"18",1,1,11,11,1,1,1,2,12,11,1,21,1,11,1,11,11
"19",7,7,3,16,12,3,5,16,7,9,12,6,7,3,20,8,18
"20",3,20,19,17,14,18,6,13,20,2,10,20,12,14,16,14,13
"21",11,6,12,2,21,14,21,3,2,1,7,12,11,12,21,1,16
