"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",28,18,24,26,1,21,2,3,2,3
"2",18,21,7,27,23,19,27,24,20,14
"3",5,13,16,14,13,20,14,23,3,22
"4",12,28,5,13,29,26,3,8,22,17
"5",2,15,23,1,30,7,30,25,12,30
"6",24,30,9,16,25,1,20,30,5,4
"7",1,7,3,17,17,17,22,9,17,1
"8",13,16,14,22,20,6,15,6,11,12
"9",23,14,15,19,8,27,29,10,28,8
"10",16,9,26,8,21,28,26,4,6,23
"11",27,4,30,5,14,30,16,27,21,13
"12",21,6,20,29,28,11,18,13,4,18
"13",20,27,19,3,19,16,12,21,27,2
"14",22,12,8,2,10,13,6,2,16,20
"15",9,26,1,4,12,4,28,14,1,15
"16",10,5,13,21,18,12,1,28,30,27
"17",8,3,18,7,24,22,8,12,14,6
"18",15,19,4,9,7,10,10,26,7,7
"19",4,2,6,28,5,2,13,5,26,24
"20",6,22,28,11,27,14,17,1,29,10
"21",14,17,10,6,2,23,19,15,24,28
"22",7,25,21,23,6,25,21,29,15,19
"23",25,10,2,24,26,24,11,20,13,25
"24",30,20,25,18,22,5,7,16,25,21
"25",17,8,22,15,3,3,4,22,18,11
"26",26,24,17,10,15,8,23,7,19,26
"27",3,23,11,30,16,29,5,17,8,9
"28",29,1,12,12,4,15,25,19,10,16
"29",19,29,29,20,9,18,9,11,9,29
"30",11,11,27,25,11,9,24,18,23,5
