"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",8,8,16,9,13,11,3,22,21,18,14,4,18,18,21,19
"2",16,4,7,17,6,9,8,8,11,20,16,20,19,16,6,5
"3",14,2,18,4,18,7,19,7,14,10,3,15,21,7,22,11
"4",5,6,22,16,21,22,6,3,12,23,8,7,6,11,14,8
"5",20,7,17,14,10,3,18,5,6,7,18,3,9,13,10,21
"6",11,10,12,21,2,2,23,23,1,19,2,11,1,12,1,12
"7",13,12,2,1,4,23,12,1,20,1,23,12,23,14,13,17
"8",21,14,20,6,3,18,15,17,13,14,4,5,15,19,7,7
"9",18,19,10,15,14,21,5,16,4,15,5,16,22,8,11,20
"10",22,15,3,13,22,4,16,21,17,22,13,22,14,5,15,14
"11",1,22,21,2,11,12,14,13,15,21,17,17,2,10,4,22
"12",19,17,11,3,23,10,9,11,2,2,11,1,3,15,20,6
"13",7,3,6,10,9,16,17,18,9,4,6,18,4,17,16,15
"14",3,9,4,5,19,5,4,15,5,13,22,14,10,21,8,10
"15",15,21,9,19,16,17,20,9,16,17,21,8,8,20,18,13
"16",12,23,23,12,12,1,1,10,23,3,1,23,12,23,12,1
"17",10,16,15,22,20,14,13,2,8,9,10,21,16,22,2,18
"18",17,5,14,11,17,19,11,20,22,8,19,13,5,2,3,4
"19",2,11,5,20,15,13,21,14,19,6,9,2,20,9,9,3
"20",6,20,19,18,5,8,10,19,7,5,20,10,17,6,17,9
"21",4,13,13,7,8,20,22,4,3,16,15,19,13,3,19,2
"22",23,1,1,23,1,15,2,12,10,12,12,9,11,1,23,23
"23",9,18,8,8,7,6,7,6,18,11,7,6,7,4,5,16
