"","V1","V2","V3","V4","V5","V6","V7"
"1",28,1,10,19,29,18,23
"2",17,24,6,16,19,23,14
"3",5,29,16,20,13,3,18
"4",2,6,22,27,20,10,15
"5",29,23,29,22,7,7,12
"6",3,18,1,1,27,21,27
"7",11,21,26,26,17,25,24
"8",21,19,14,12,9,19,16
"9",10,12,17,8,26,14,13
"10",4,11,27,13,16,17,4
"11",6,16,8,14,23,6,21
"12",1,26,11,9,2,27,9
"13",16,3,28,5,24,28,17
"14",14,27,23,3,5,16,22
"15",19,10,5,7,6,2,25
"16",8,22,9,4,10,11,1
"17",26,13,3,29,11,29,19
"18",12,2,2,11,12,8,6
"19",15,14,12,23,15,13,26
"20",25,25,20,10,21,9,28
"21",9,7,7,24,4,20,11
"22",20,9,15,21,22,26,2
"23",22,28,4,25,25,15,5
"24",13,20,24,18,28,1,8
"25",18,17,18,28,3,5,3
"26",7,4,19,17,8,24,29
"27",27,15,21,6,14,22,7
"28",23,8,25,15,1,12,20
"29",24,5,13,2,18,4,10
