"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",8,12,6,5,18,17,13,19,13
"2",18,11,17,21,2,16,5,17,6
"3",6,10,16,4,11,8,4,4,21
"4",7,1,14,19,16,13,11,7,2
"5",13,2,18,9,22,6,1,21,15
"6",20,9,11,13,19,11,9,12,18
"7",1,20,12,22,17,2,21,16,19
"8",4,7,21,14,20,19,20,3,7
"9",2,13,10,8,7,20,2,11,3
"10",11,21,4,11,1,18,10,5,20
"11",5,18,8,15,4,7,8,22,8
"12",12,17,15,10,12,14,19,14,9
"13",22,16,2,18,13,15,3,1,14
"14",19,5,13,7,5,1,12,2,10
"15",17,15,7,3,21,5,17,6,4
"16",3,3,1,2,3,12,18,13,16
"17",16,4,9,16,10,21,16,20,22
"18",14,8,5,20,8,9,22,8,11
"19",9,14,20,17,6,4,14,10,17
"20",15,19,19,1,15,22,7,9,12
"21",10,6,3,12,14,3,6,15,5
"22",21,22,22,6,9,10,15,18,1
