"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",16,25,6,13,11,4,23,16,15,2,17,7,26,18,26,4,18,13,2,1,8,26,16
"2",2,26,14,21,17,26,15,13,26,1,20,2,13,15,1,19,26,26,14,20,13,8,27
"3",9,10,22,24,7,25,17,25,11,13,10,20,25,21,23,20,9,21,22,21,7,21,19
"4",27,1,15,14,14,27,27,27,1,27,1,15,14,14,18,15,15,1,1,27,27,13,14
"5",4,9,20,20,8,7,7,11,20,18,18,23,6,5,21,9,23,8,3,24,10,11,10
"6",25,20,23,2,13,13,9,18,9,3,13,24,18,26,3,2,12,19,9,25,16,12,3
"7",17,4,8,4,26,5,11,9,21,6,12,18,10,10,24,24,13,25,7,18,25,19,20
"8",6,17,7,22,25,10,20,3,6,21,21,16,23,24,8,12,5,16,4,19,23,9,17
"9",11,19,9,3,5,6,16,6,12,26,8,4,20,9,13,21,17,3,19,23,4,7,6
"10",12,11,3,11,19,22,24,7,3,8,11,22,7,20,16,10,24,22,10,10,3,5,4
"11",13,16,24,15,3,2,19,23,22,12,3,11,5,25,2,26,21,12,11,15,24,1,11
"12",20,22,11,8,6,19,8,21,23,22,23,19,11,22,17,18,7,9,8,6,6,6,22
"13",18,18,17,23,16,24,3,4,7,7,9,6,2,8,7,25,8,11,5,5,9,16,12
"14",8,21,2,18,22,11,4,19,8,10,2,13,9,12,22,3,11,4,25,17,12,3,25
"15",23,6,19,25,15,9,25,8,17,9,25,25,21,17,12,27,16,7,21,9,17,4,23
"16",10,3,25,9,23,21,12,24,18,20,7,3,24,6,11,5,19,17,6,8,15,10,24
"17",22,5,4,17,9,12,5,22,4,19,24,10,22,11,9,23,25,23,12,16,11,24,7
"18",14,15,16,7,2,16,26,2,14,14,27,14,1,2,15,1,1,27,13,26,14,27,26
"19",15,27,1,27,1,20,1,14,27,16,14,27,27,1,14,14,14,14,27,14,26,14,1
"20",19,8,5,6,20,23,18,17,19,17,22,5,4,19,5,8,10,5,23,22,19,18,9
"21",5,24,18,5,24,18,21,20,5,11,19,17,17,4,20,22,22,10,18,4,20,20,8
"22",1,7,26,1,4,1,13,15,2,5,26,12,12,13,10,11,2,15,26,7,2,15,15
"23",7,2,13,19,10,17,10,5,24,4,6,9,19,23,19,6,3,6,15,11,21,23,5
"24",21,23,21,16,21,8,22,12,25,23,4,21,16,7,6,7,6,24,20,12,5,22,13
"25",26,14,27,12,27,14,2,1,16,15,16,1,15,27,27,16,27,2,17,13,1,17,18
"26",24,12,12,26,18,3,14,26,13,24,15,8,8,3,25,13,4,20,16,3,18,2,2
"27",3,13,10,10,12,15,6,10,10,25,5,26,3,16,4,17,20,18,24,2,22,25,21
