"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,12,14,9,26,2,1,27,9,3,16,16,27,1,1,17,16,28,14
"2",7,8,23,24,17,6,23,5,27,17,21,13,20,10,5,8,17,10,27
"3",14,2,18,19,28,1,13,6,18,15,10,28,2,27,27,26,19,15,2
"4",21,23,9,8,23,5,18,16,5,22,23,19,18,24,22,11,13,8,6
"5",4,4,5,6,25,17,21,2,11,11,12,9,6,19,16,13,4,6,21
"6",19,18,11,3,20,8,4,21,22,16,4,12,3,21,9,6,25,18,20
"7",9,17,13,27,16,9,7,7,3,26,5,18,11,4,18,27,7,3,18
"8",10,5,24,11,9,11,8,12,6,4,25,24,5,18,7,7,8,17,10
"9",18,9,8,23,8,7,20,8,7,7,3,5,23,17,20,18,22,22,12
"10",16,15,7,2,14,27,10,4,28,1,19,15,15,15,24,1,1,26,1
"11",17,28,19,22,27,26,22,19,2,27,13,6,9,16,4,2,10,21,15
"12",26,22,25,13,22,23,6,10,10,5,6,8,16,7,26,10,18,14,25
"13",5,11,20,5,3,25,9,18,4,19,9,10,19,13,11,23,24,9,4
"14",12,25,27,4,2,4,19,17,24,9,11,23,12,9,17,20,12,24,22
"15",28,14,1,15,1,14,28,28,1,14,27,14,1,14,21,28,14,16,28
"16",8,21,16,25,6,19,3,22,26,10,20,3,7,23,25,16,15,7,11
"17",25,24,22,28,7,16,17,1,12,18,17,17,4,2,12,12,26,27,7
"18",23,10,6,21,24,24,14,15,23,6,24,21,8,8,8,22,23,4,16
"19",1,27,3,26,19,15,12,24,15,8,1,27,22,12,13,5,11,12,3
"20",3,26,4,14,11,12,11,11,16,23,22,7,14,25,3,24,21,25,23
"21",13,20,17,7,21,18,26,9,20,13,26,4,24,5,10,25,6,19,8
"22",11,19,12,17,10,28,27,14,8,12,15,25,26,28,15,4,27,2,26
"23",6,6,10,12,12,21,25,25,19,24,8,20,10,6,23,9,20,20,9
"24",24,3,2,16,4,3,2,13,21,21,14,2,17,3,14,3,3,11,13
"25",20,7,21,20,18,20,5,23,13,20,18,22,21,20,19,21,5,23,24
"26",15,1,28,1,15,13,15,20,14,28,28,1,28,11,28,14,28,1,17
"27",22,16,26,18,13,10,24,26,17,2,7,11,13,26,6,19,2,5,5
"28",27,13,15,10,5,22,16,3,25,25,2,26,25,22,2,15,9,13,19
