"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",27,27,6,3,14,26,27,18,10,25,17,10,6,24,10,11,10,8,23,12
"2",12,20,4,27,26,3,12,6,8,6,22,18,17,25,11,25,11,14,4,4
"3",7,7,21,24,22,17,17,23,25,20,23,22,21,26,9,10,6,6,27,26
"4",26,16,16,14,20,28,18,29,3,1,14,28,19,14,22,19,2,29,29,3
"5",2,26,15,16,3,8,20,4,29,28,10,17,28,30,18,13,9,26,13,9
"6",15,30,14,2,7,13,14,5,1,19,16,15,15,2,30,27,29,5,30,28
"7",18,9,25,8,8,6,26,21,9,7,4,21,26,18,20,28,8,10,19,20
"8",25,2,19,7,16,10,6,2,14,18,27,25,10,22,28,4,5,17,8,10
"9",8,12,27,4,21,11,4,19,17,11,11,12,3,29,15,23,27,25,26,6
"10",19,3,18,28,9,25,19,3,27,5,20,4,8,20,14,22,21,23,21,19
"11",29,1,12,11,30,4,1,15,23,3,19,16,27,6,2,14,20,12,28,14
"12",1,18,30,17,18,29,2,10,21,29,28,9,18,16,29,29,12,13,22,21
"13",20,24,9,23,24,12,24,9,19,8,8,24,4,10,26,9,13,20,25,25
"14",30,15,22,29,12,2,16,16,16,30,1,1,1,1,16,15,1,15,2,30
"15",22,17,3,20,6,7,10,22,24,22,25,27,5,12,19,20,23,4,18,8
"16",13,28,29,30,17,1,30,30,30,15,12,30,16,15,5,1,30,16,16,13
"17",23,14,5,13,19,23,15,11,28,9,2,11,23,28,23,2,28,7,6,17
"18",28,13,10,21,1,16,29,28,15,12,30,14,13,27,1,30,17,27,12,29
"19",4,4,2,10,15,15,23,8,20,13,7,2,14,11,4,21,3,3,14,2
"20",17,29,17,26,29,21,3,24,13,17,3,5,29,21,27,17,16,1,15,1
"21",3,22,20,18,10,19,7,14,5,2,9,26,7,23,3,16,25,9,9,23
"22",5,5,7,12,27,5,13,27,6,27,13,7,11,19,21,6,22,19,17,27
"23",16,19,13,6,25,24,9,25,26,24,5,19,9,5,6,26,7,22,10,18
"24",11,11,28,15,28,27,25,1,4,14,29,20,2,3,17,12,19,2,11,15
"25",10,23,8,19,11,14,5,20,2,10,26,3,25,4,13,3,4,24,20,16
"26",9,21,23,5,4,18,21,26,22,4,21,8,12,8,24,7,15,11,3,7
"27",24,10,26,22,5,20,11,7,7,23,6,13,20,9,7,5,18,18,24,5
"28",14,8,1,1,2,30,8,13,18,16,15,29,30,17,12,8,14,30,1,24
"29",21,25,24,9,23,9,22,12,11,21,24,6,22,13,8,18,24,28,7,22
"30",6,6,11,25,13,22,28,17,12,26,18,23,24,7,25,24,26,21,5,11
