"","V1","V2","V3","V4","V5","V6"
"1",6,11,23,18,12,24
"2",18,7,15,17,20,1
"3",5,24,9,9,21,14
"4",11,13,22,6,26,5
"5",8,18,20,12,19,19
"6",22,12,6,13,6,7
"7",27,10,1,27,18,11
"8",23,6,19,5,14,17
"9",24,25,17,23,25,25
"10",7,1,3,3,11,3
"11",4,21,18,26,9,6
"12",14,3,7,11,23,26
"13",20,2,21,21,1,13
"14",16,27,27,1,7,20
"15",19,22,4,7,16,23
"16",2,16,14,4,2,27
"17",21,19,11,2,24,9
"18",3,8,5,20,27,18
"19",12,20,2,16,3,16
"20",26,23,24,10,4,2
"21",1,4,26,14,17,8
"22",13,9,16,8,8,12
"23",15,17,8,22,13,4
"24",9,5,10,25,5,22
"25",25,14,12,15,10,21
"26",10,26,13,19,15,10
"27",17,15,25,24,22,15
