"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,2,2,2,3,2,1,1,1
"2",2,3,1,2,5,5,3,1,4
"3",1,2,4,3,5,2,5,5,3
"4",5,1,2,4,1,5,3,4,3
"5",4,1,4,2,4,5,5,3,2
"6",3,5,3,1,2,5,1,4,2
"7",1,2,5,1,1,4,2,2,3
"8",1,3,1,3,2,4,4,5,1
"9",2,4,5,5,3,5,4,4,4
"10",5,2,3,2,3,1,2,5,4
"11",3,4,5,1,5,1,3,3,1
"12",4,3,5,4,3,3,1,5,1
"13",2,5,4,2,1,3,3,5,5
"14",4,5,3,4,4,4,4,1,1
"15",4,3,2,1,4,2,4,4,5
"16",5,3,4,5,2,2,3,1,2
"17",3,2,2,5,2,4,5,3,5
"18",3,1,5,3,2,1,4,1,4
"19",2,4,3,4,1,1,5,2,2
"20",4,4,1,3,1,2,1,3,4
"21",3,1,1,5,5,3,2,4,2
"22",1,5,2,5,4,1,2,3,3
"23",1,1,3,4,4,3,1,2,5
"24",5,5,1,1,3,3,5,2,3
"25",5,4,4,3,5,4,2,2,5
