"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,1,2,5,4,3,1
"2",3,2,5,3,4,5,2,5
"3",4,1,3,4,2,5,5,3
"4",1,3,2,4,3,5,1,2
"5",4,4,4,1,1,5,3,4
"6",2,1,2,1,2,3,2,5
"7",2,5,2,2,4,5,4,3
"8",1,2,1,5,1,3,3,3
"9",2,4,5,5,2,4,4,1
"10",3,3,4,4,1,1,4,5
"11",1,2,3,1,3,2,4,1
"12",4,4,1,2,3,1,5,5
"13",4,5,4,4,5,3,2,1
"14",5,2,3,2,1,4,1,2
"15",5,5,3,5,3,4,3,5
"16",2,4,3,1,5,1,1,3
"17",4,1,5,3,3,2,1,3
"18",1,3,4,3,5,4,5,4
"19",5,3,5,1,4,3,5,2
"20",3,4,1,5,4,3,1,4
"21",2,1,4,5,4,1,3,2
"22",1,5,5,2,2,2,2,4
"23",3,5,2,3,1,2,5,2
"24",5,3,1,3,2,1,2,1
"25",5,2,2,4,5,2,4,4
