"","V1","V2","V3","V4","V5","V6"
"1",12,10,7,19,25,2
"2",25,21,5,21,14,10
"3",14,17,20,26,17,17
"4",15,5,6,3,6,11
"5",4,15,16,13,26,26
"6",5,24,11,23,21,15
"7",9,13,4,25,9,23
"8",26,9,19,9,7,16
"9",24,12,13,1,24,13
"10",3,18,3,5,18,7
"11",8,3,26,15,15,12
"12",17,4,14,20,3,25
"13",20,25,8,7,16,24
"14",13,20,1,12,4,14
"15",16,23,24,10,23,8
"16",11,7,22,6,20,22
"17",18,14,21,4,12,1
"18",21,16,10,14,1,5
"19",23,19,25,18,10,21
"20",2,11,23,22,5,9
"21",7,22,18,2,2,19
"22",10,26,15,17,8,3
"23",19,2,2,16,22,18
"24",22,6,17,24,19,6
"25",1,8,9,11,13,20
"26",6,1,12,8,11,4
