"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",16,30,7,12,19,16,9,2,6,7,5,30,19
"2",12,19,26,28,24,7,5,17,17,29,11,24,26
"3",15,11,10,6,10,30,30,1,16,30,19,16,9
"4",13,15,18,5,17,12,22,30,30,3,1,17,27
"5",18,17,30,19,21,22,26,25,7,26,6,11,5
"6",24,8,20,7,26,25,4,6,13,17,2,6,14
"7",2,13,29,17,5,26,13,4,22,11,7,22,22
"8",25,28,15,10,2,10,28,23,20,16,9,23,2
"9",26,2,11,20,22,20,2,24,18,1,20,20,21
"10",14,9,21,24,3,15,29,19,5,6,24,7,24
"11",30,24,25,15,30,29,17,18,27,5,15,13,11
"12",4,23,13,8,23,24,24,14,2,15,27,21,29
"13",5,7,17,23,16,28,8,29,12,18,25,29,8
"14",10,18,3,4,4,21,6,11,10,4,16,10,3
"15",6,25,23,21,11,2,23,7,14,2,18,26,12
"16",1,14,9,11,29,1,20,26,11,22,14,5,20
"17",11,1,27,13,20,11,18,10,19,14,30,3,1
"18",21,27,19,26,28,13,14,5,4,23,21,18,4
"19",22,21,28,9,8,6,3,27,8,10,28,15,16
"20",27,20,2,18,18,8,25,3,21,19,26,9,23
"21",29,4,24,1,13,17,21,12,9,21,13,28,25
"22",9,3,1,16,7,9,16,21,3,28,3,19,13
"23",23,16,8,29,6,23,19,16,29,24,29,27,15
"24",20,26,4,25,9,27,15,28,15,13,12,4,28
"25",7,5,6,27,27,18,27,9,24,9,10,14,17
"26",19,6,16,14,1,3,7,8,26,25,17,12,30
"27",28,12,14,30,15,4,11,15,1,8,8,1,10
"28",8,29,22,3,14,19,10,22,23,27,22,2,18
"29",3,22,12,22,12,14,1,13,28,20,4,8,7
"30",17,10,5,2,25,5,12,20,25,12,23,25,6
