"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",3,15,8,8,18,8,6,4,17,4,16,13,16,4,3,8,13,19
"2",17,9,20,11,11,1,1,3,11,13,12,2,1,2,12,2,20,10
"3",20,12,14,18,20,12,9,7,13,1,18,9,10,21,19,20,12,2
"4",6,6,5,14,13,18,16,14,19,5,14,19,3,13,15,3,17,7
"5",4,5,16,2,17,5,17,6,5,17,6,15,9,20,8,11,14,5
"6",1,21,21,10,1,13,21,11,8,12,21,10,21,12,20,10,18,11
"7",11,13,11,1,21,21,11,21,12,21,1,11,12,1,21,1,10,12
"8",7,7,12,19,4,9,8,19,15,19,20,4,8,19,4,6,9,15
"9",16,18,18,6,6,16,5,15,14,6,3,18,7,17,5,13,16,14
"10",21,1,1,21,2,11,20,9,10,8,2,12,11,3,1,9,11,9
"11",8,8,6,3,5,10,4,18,3,2,9,3,15,7,14,15,15,3
"12",18,3,3,5,12,14,3,10,7,14,15,16,19,18,16,7,5,17
"13",12,10,13,7,9,20,14,1,21,11,10,1,20,14,2,12,1,1
"14",10,17,9,13,7,6,15,5,4,3,4,7,6,16,17,4,4,18
"15",5,2,19,15,10,2,7,13,20,10,5,14,14,8,18,19,2,13
"16",15,19,15,17,14,3,12,20,2,9,13,20,18,9,7,5,8,4
"17",19,14,4,12,15,4,19,17,18,16,7,5,17,15,11,16,19,16
"18",14,16,7,4,3,7,13,8,16,18,19,17,4,6,13,18,6,6
"19",2,20,2,16,19,15,2,12,9,15,8,8,2,11,6,14,3,8
"20",13,4,17,9,16,17,18,16,6,7,17,6,5,5,9,17,7,20
"21",9,11,10,20,8,19,10,2,1,20,11,21,13,10,10,21,21,21
