"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",10,28,16,1,14,14,12,27,1,20,1,27,12,2,12,15,27,28,14,13,1,18
"2",12,6,22,22,20,7,11,23,6,23,22,7,11,7,8,17,7,4,23,16,23,27
"3",25,4,19,3,17,11,19,7,3,4,25,10,24,24,14,23,19,7,8,14,3,17
"4",4,5,6,19,5,17,24,24,19,8,26,18,10,5,13,11,8,11,11,5,4,4
"5",8,23,10,16,3,4,3,11,9,7,24,3,25,16,9,4,25,17,15,6,18,22
"6",13,13,15,28,1,1,18,28,17,14,20,28,28,28,16,28,14,19,28,27,14,14
"7",6,18,3,4,23,23,4,4,12,15,21,26,5,25,17,12,3,8,24,11,15,19
"8",18,17,4,7,22,8,21,21,23,26,19,9,4,20,7,22,22,25,12,7,19,7
"9",20,20,7,11,24,6,23,22,21,9,10,21,22,8,23,7,20,5,21,19,9,25
"10",1,14,28,13,27,28,15,13,27,28,27,13,18,14,1,2,16,14,19,26,2,15
"11",3,8,14,2,13,18,28,18,18,17,13,5,20,26,18,5,11,26,2,17,26,28
"12",9,12,2,25,8,13,7,6,24,19,11,8,8,13,19,25,24,9,6,23,6,24
"13",14,21,9,24,16,25,16,25,4,5,5,11,3,23,3,8,15,6,3,25,17,11
"14",15,26,13,9,10,19,22,2,14,18,12,1,19,4,2,27,12,2,27,3,11,10
"15",27,27,17,20,12,16,10,17,28,16,28,15,15,27,28,13,28,1,18,15,27,2
"16",17,1,12,10,28,2,1,1,15,13,15,16,13,1,11,14,17,16,1,28,28,1
"17",11,16,24,26,19,21,25,5,8,22,17,25,26,10,21,9,23,12,5,8,20,6
"18",5,19,23,5,9,10,8,16,25,3,8,23,23,11,6,21,4,10,10,20,22,9
"19",28,15,18,27,15,9,17,3,26,1,14,12,1,3,15,1,2,27,17,10,16,20
"20",23,7,5,21,11,12,9,8,7,24,9,22,21,22,5,6,9,24,20,18,8,5
"21",2,9,1,18,26,15,14,15,2,2,7,14,17,12,27,26,18,22,25,2,25,13
"22",21,11,25,6,7,22,6,20,10,6,18,6,6,9,20,10,21,23,26,22,10,8
"23",22,25,26,23,25,20,5,19,16,10,16,20,16,19,10,24,10,21,4,4,7,26
"24",24,22,8,12,4,24,20,12,5,25,23,17,14,6,25,20,5,20,9,24,21,21
"25",19,3,20,15,6,26,26,9,20,11,4,24,7,17,4,19,26,15,22,12,24,23
"26",16,10,27,8,2,3,13,14,13,27,6,19,2,18,26,3,13,3,7,1,12,16
"27",26,2,11,14,18,27,2,26,22,21,2,2,27,15,22,16,1,13,13,9,13,12
"28",7,24,21,17,21,5,27,10,11,12,3,4,9,21,24,18,6,18,16,21,5,3
