"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",13,13,1,1,12,24,24,13,24,13,24,11,12,24,11,24,14,24,13,24
"2",7,4,7,19,5,7,14,20,15,23,18,20,9,16,5,4,20,12,18,21
"3",17,18,16,6,6,19,8,7,7,5,21,5,6,6,7,5,16,9,20,18
"4",9,19,21,4,16,15,18,18,5,10,4,22,14,18,3,10,22,20,15,4
"5",6,20,6,21,18,20,21,10,16,7,9,16,18,5,21,8,18,7,6,19
"6",20,6,10,7,4,8,22,19,18,9,7,8,4,8,15,19,21,5,9,5
"7",21,16,20,20,15,6,19,8,20,16,20,7,17,19,4,7,7,4,10,7
"8",22,5,18,11,20,17,15,21,19,4,19,19,21,10,17,15,6,17,23,17
"9",15,3,19,22,7,22,11,9,11,17,3,3,19,22,20,20,19,14,19,11
"10",16,10,15,23,23,23,10,24,13,15,12,12,1,9,10,1,13,23,1,1
"11",23,15,2,8,8,2,9,15,9,3,1,17,22,23,13,2,11,13,3,13
"12",24,11,14,9,24,12,1,14,1,24,13,10,15,15,24,11,24,1,11,23
"13",4,24,17,3,10,13,13,23,14,22,10,2,20,11,8,21,3,8,4,16
"14",19,22,12,16,3,16,20,5,4,20,16,21,5,17,18,17,8,19,5,15
"15",14,8,3,18,9,21,4,16,6,11,15,23,16,3,2,18,2,3,12,8
"16",5,9,8,10,11,10,23,11,3,19,14,6,23,2,16,3,9,22,21,6
"17",10,1,23,2,14,3,12,3,12,14,23,24,11,1,23,13,15,10,2,10
"18",1,12,13,14,1,14,2,2,23,2,17,13,24,14,9,14,23,15,7,2
"19",11,17,22,17,2,5,3,17,22,12,5,9,10,4,19,9,5,21,14,20
"20",2,14,24,24,13,1,16,12,2,1,11,14,2,12,12,23,12,2,24,14
"21",18,21,4,12,21,4,7,4,17,21,8,15,13,7,6,22,17,18,22,9
"22",12,2,9,13,22,11,17,1,8,6,2,1,8,13,1,12,1,16,8,22
"23",8,23,5,15,19,9,6,22,10,8,22,4,7,21,22,16,10,11,16,3
"24",3,7,11,5,17,18,5,6,21,18,6,18,3,20,14,6,4,6,17,12
