"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",9,20,10,9,4,18,19,5,22,17,22,5,19,10,3,18,18,7,5,17
"2",20,19,17,21,7,16,4,7,15,5,9,23,7,20,7,17,4,8,21,18
"3",17,10,9,10,19,2,6,2,4,3,18,4,9,7,4,3,7,11,14,9
"4",18,25,15,24,25,13,11,13,25,14,25,25,15,12,25,1,14,10,10,1
"5",5,4,18,3,23,21,23,10,23,6,16,16,16,22,6,9,10,17,19,11
"6",4,7,11,8,15,10,8,20,6,8,21,22,21,16,20,15,3,4,7,24
"7",13,3,4,20,16,15,9,8,20,10,20,10,4,3,19,14,21,22,24,23
"8",8,15,7,12,5,19,22,17,9,4,8,21,10,4,21,5,20,6,20,6
"9",14,22,23,2,11,4,15,12,3,16,23,13,2,24,15,11,22,1,25,13
"10",24,13,5,6,24,20,5,18,14,23,10,3,20,19,14,8,24,9,16,20
"11",21,16,3,18,18,6,18,4,10,7,14,18,23,23,17,20,19,18,4,7
"12",6,14,8,15,2,3,3,19,24,21,17,9,11,21,23,23,9,16,18,10
"13",15,17,24,4,6,12,1,15,19,2,12,12,24,2,16,7,11,25,2,15
"14",19,5,20,14,14,9,20,9,18,22,6,6,22,8,18,16,5,3,22,4
"15",3,9,12,7,9,8,10,3,17,24,7,24,6,15,8,10,23,23,9,5
"16",10,23,16,11,17,14,7,23,5,9,3,8,18,14,2,21,17,21,23,2
"17",11,6,22,17,22,22,2,16,11,19,15,17,3,6,9,22,16,5,3,8
"18",25,1,14,1,1,25,12,1,1,13,1,15,13,11,24,25,13,13,13,16
"19",23,12,13,13,8,23,24,25,12,11,24,2,1,17,13,13,2,24,8,3
"20",22,8,19,19,3,7,17,21,8,20,19,20,17,9,5,6,15,20,17,21
"21",2,24,1,23,12,24,13,11,2,25,13,14,25,1,10,12,1,15,15,12
"22",12,2,2,22,10,11,14,24,16,12,2,11,12,25,1,2,12,2,1,14
"23",7,18,21,16,20,17,16,6,7,18,5,7,8,18,22,4,8,19,6,22
"24",16,21,6,5,21,5,21,22,21,15,4,19,5,5,11,19,6,14,11,19
"25",1,11,25,25,13,1,25,14,13,1,11,1,14,13,12,24,25,12,12,25
