"","V1","V2","V3","V4","V5","V6"
"1",19,5,10,19,21,4
"2",2,13,14,15,24,7
"3",16,16,4,14,15,1
"4",15,22,8,4,23,15
"5",24,24,12,10,13,6
"6",4,23,23,17,10,13
"7",13,21,2,20,7,9
"8",6,7,5,3,9,5
"9",3,4,18,5,14,19
"10",14,1,15,24,12,12
"11",18,20,17,13,2,21
"12",10,11,19,22,3,2
"13",5,18,6,23,20,20
"14",9,2,1,12,18,14
"15",7,9,11,18,8,24
"16",12,8,24,11,22,22
"17",11,17,13,1,5,18
"18",20,12,3,6,11,23
"19",22,10,16,2,19,10
"20",17,3,22,8,6,8
"21",8,19,20,7,17,3
"22",23,6,7,16,4,16
"23",1,14,9,9,1,11
"24",21,15,21,21,16,17
