"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,13,3,14,18,15,18,1,22,28
"2",21,8,13,8,2,1,21,13,20,23
"3",3,7,10,11,24,26,11,16,8,5
"4",24,6,12,21,17,11,4,2,12,2
"5",26,17,15,1,20,27,6,11,15,26
"6",28,12,5,5,9,17,13,21,1,12
"7",4,23,23,4,13,21,20,23,11,22
"8",1,9,16,25,5,7,28,20,14,13
"9",20,21,17,9,26,19,27,3,6,10
"10",13,28,1,7,28,8,8,19,13,16
"11",19,22,4,15,4,23,2,15,24,9
"12",12,14,20,19,14,28,23,18,28,1
"13",15,16,9,24,25,5,12,6,27,21
"14",23,10,24,23,27,24,16,24,19,17
"15",9,27,14,20,3,25,15,5,3,20
"16",7,19,7,2,8,10,24,10,18,3
"17",5,25,22,27,22,16,5,12,21,11
"18",22,20,19,26,7,9,9,17,7,27
"19",25,26,11,12,16,13,26,27,25,19
"20",14,4,27,16,23,12,25,14,2,25
"21",6,11,21,10,15,3,1,8,4,18
"22",27,24,26,17,11,4,17,7,16,6
"23",10,18,6,22,19,2,19,25,5,8
"24",16,15,28,13,1,14,7,28,9,4
"25",11,5,25,6,6,20,10,4,26,14
"26",17,1,18,3,21,6,14,22,23,7
"27",18,2,2,28,12,22,22,9,10,15
"28",8,3,8,18,10,18,3,26,17,24
