"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",21,7,19,7,2,21,8,15,13,2,14,10,3,9,19
"2",7,13,22,4,8,15,2,5,3,10,17,16,7,22,9
"3",20,22,4,13,6,7,11,9,4,7,19,3,16,8,5
"4",3,23,21,14,21,20,9,8,11,16,6,18,15,7,17
"5",1,9,8,11,1,12,7,1,23,23,10,8,12,15,3
"6",23,11,1,12,11,1,20,7,12,17,1,13,6,23,16
"7",8,14,10,8,10,2,4,20,9,18,22,12,23,2,18
"8",9,3,12,17,9,19,21,6,20,9,21,2,10,3,15
"9",14,20,15,1,15,8,3,13,21,13,3,1,9,13,23
"10",12,18,11,5,13,22,19,4,8,1,5,11,22,16,2
"11",13,5,2,23,7,18,1,14,15,14,4,17,21,11,7
"12",17,15,9,20,19,5,5,3,17,3,11,20,5,4,12
"13",4,6,5,6,16,9,14,10,18,5,18,21,18,18,20
"14",11,4,18,18,20,3,10,12,10,15,23,9,1,17,1
"15",6,16,20,21,5,4,16,17,16,6,7,6,17,20,13
"16",2,8,14,15,14,11,13,23,1,4,2,14,8,1,6
"17",22,12,23,9,23,10,23,18,22,11,13,15,19,10,4
"18",10,21,6,19,3,13,22,19,5,12,12,19,2,14,22
"19",5,17,3,3,18,16,17,16,14,19,15,5,4,6,8
"20",15,2,17,2,4,6,18,11,7,21,8,22,13,5,11
"21",16,1,7,10,22,17,6,21,6,8,9,4,14,21,14
"22",19,19,13,16,12,23,12,22,19,22,20,23,11,19,10
"23",18,10,16,22,17,14,15,2,2,20,16,7,20,12,21
