"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",9,24,15,16,26,14,5,4,14,10,7,20,5,18,4,18,3,24,25,24,21,4,6
"2",19,11,22,4,25,23,23,5,18,20,21,21,20,4,14,11,22,23,17,9,4,7,3
"3",8,10,6,7,24,13,7,24,22,17,19,24,10,6,22,9,20,7,24,19,24,24,22
"4",10,20,25,5,5,18,19,25,11,8,12,7,21,5,24,24,5,20,22,11,20,9,23
"5",17,3,23,6,6,19,4,8,17,12,22,5,6,19,7,10,4,9,8,20,5,18,25
"6",26,22,26,14,27,17,27,19,12,13,17,26,14,26,1,27,26,4,3,16,17,16,19
"7",27,15,18,1,17,3,3,27,1,27,11,14,2,14,9,2,15,28,14,1,18,15,18
"8",28,1,1,17,14,28,1,1,15,19,13,2,13,13,28,28,28,16,28,15,15,12,14
"9",11,7,7,23,23,9,14,21,8,7,23,9,4,17,18,21,23,22,6,7,6,5,24
"10",2,16,13,13,13,26,2,18,3,2,18,28,28,28,16,1,12,13,19,14,2,1,15
"11",22,14,12,12,3,8,26,9,16,9,2,25,3,9,17,22,11,11,27,3,3,27,16
"12",5,18,4,8,12,5,17,2,13,6,9,13,19,2,3,4,27,18,2,22,10,19,17
"13",20,25,20,21,9,12,8,7,23,15,3,17,25,15,20,7,25,10,9,6,25,3,27
"14",13,13,28,28,15,27,15,28,27,1,1,16,1,1,12,15,17,1,13,28,13,11,13
"15",3,9,11,10,11,20,16,14,25,26,28,15,11,11,2,26,10,12,4,2,27,2,11
"16",14,26,10,27,2,25,12,10,5,24,25,23,18,10,10,19,18,27,15,21,16,26,26
"17",24,19,3,19,4,16,20,26,20,22,15,22,9,20,23,5,7,19,5,23,9,8,7
"18",6,21,27,25,18,15,18,3,10,21,26,10,8,21,25,3,14,5,23,4,11,21,12
"19",1,28,16,18,28,1,28,16,28,28,14,1,16,12,15,14,1,14,16,17,1,14,28
"20",21,6,8,24,21,24,22,13,24,5,10,12,17,25,8,6,6,21,20,8,23,22,20
"21",15,27,2,2,1,2,13,12,19,3,20,8,12,27,13,16,19,2,18,10,22,13,1
"22",23,8,14,22,10,7,24,20,7,14,24,4,26,8,5,8,16,8,26,25,19,6,10
"23",7,4,24,20,7,6,9,23,21,23,8,19,22,23,6,23,21,17,21,12,8,20,8
"24",16,2,21,26,16,4,11,11,2,11,16,27,15,3,27,13,2,15,1,13,28,17,2
"25",18,23,5,15,22,21,6,22,9,18,6,6,24,7,11,17,8,6,7,5,7,23,5
"26",4,12,17,11,8,22,25,17,6,16,4,3,7,22,19,12,24,25,10,18,26,25,4
"27",12,5,9,3,19,10,21,6,4,25,5,18,23,24,21,20,9,3,12,26,14,10,21
"28",25,17,19,9,20,11,10,15,26,4,27,11,27,16,26,25,13,26,11,27,12,28,9
