"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",5,3,12,3,16,18,17,4,20,7,10,14,4
"2",14,21,5,11,14,13,4,21,19,19,6,17,5
"3",20,18,10,15,2,19,19,6,10,9,5,18,15
"4",9,12,21,17,6,15,2,9,18,3,18,20,9
"5",2,15,1,13,11,22,8,1,14,15,15,1,12
"6",8,9,3,9,4,11,21,18,13,2,2,5,8
"7",16,14,19,1,8,4,20,20,15,14,14,15,18
"8",18,6,18,18,10,21,9,19,6,6,8,9,3
"9",15,22,17,10,13,12,16,3,4,1,19,7,17
"10",4,20,7,19,9,3,13,13,21,5,9,10,21
"11",10,10,8,2,7,17,3,8,3,20,7,8,20
"12",21,13,2,4,18,6,7,12,1,4,11,19,11
"13",6,16,15,21,20,16,22,17,2,18,13,11,10
"14",13,4,4,20,5,2,12,5,5,16,16,16,7
"15",12,7,6,8,22,20,14,16,12,11,22,21,22
"16",19,11,9,16,17,7,18,10,17,21,20,6,2
"17",1,5,20,12,12,8,15,11,7,22,3,22,14
"18",3,19,13,5,1,9,6,15,8,12,21,13,1
"19",22,1,16,7,3,14,11,14,22,17,12,2,13
"20",11,17,22,6,21,1,10,7,11,10,4,3,6
"21",17,8,14,22,19,10,5,2,16,13,1,12,19
"22",7,2,11,14,15,5,1,22,9,8,17,4,16
