"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,17,6,16,20,5,5,9
"2",24,12,25,23,14,4,17,12
"3",12,9,4,14,3,25,2,13
"4",21,24,5,9,16,12,24,17
"5",25,13,13,1,19,14,1,18
"6",4,20,9,4,13,22,10,21
"7",19,2,8,7,23,21,14,11
"8",17,4,10,25,12,10,4,22
"9",1,14,14,12,11,20,25,3
"10",20,10,15,6,1,6,9,7
"11",16,15,1,11,6,3,13,25
"12",10,7,3,2,9,11,16,2
"13",22,6,20,15,8,23,20,20
"14",6,5,24,10,15,17,6,5
"15",11,25,16,24,17,24,15,8
"16",2,1,18,21,5,13,11,16
"17",7,22,12,19,2,8,19,19
"18",13,3,11,17,18,1,23,6
"19",23,19,7,20,7,18,7,4
"20",9,23,21,8,10,2,3,14
"21",14,16,22,18,22,19,8,24
"22",15,18,23,3,4,15,22,10
"23",8,11,2,22,24,16,21,15
"24",5,8,17,5,21,7,18,23
"25",18,21,19,13,25,9,12,1
