"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",2,17,14,1,16,2,30,18,17,30,13,12,15,29,16,18,16,29,1,2,30,2,2,17,1,1,15,14
"2",10,6,4,22,25,25,26,21,4,6,24,18,7,18,19,28,12,11,13,22,20,4,26,10,27,5,21,12
"3",20,10,24,21,11,4,22,27,20,10,11,26,23,24,24,10,4,18,6,19,7,9,25,26,10,18,27,3
"4",24,13,7,9,7,12,8,8,22,5,22,25,20,23,7,26,19,24,11,7,21,24,7,8,25,23,22,5
"5",18,4,15,12,9,19,2,28,19,28,12,2,2,20,28,27,2,20,20,27,17,10,11,9,18,28,13,28
"6",19,26,13,6,20,10,20,4,25,24,25,28,4,4,23,9,21,22,9,20,5,6,17,5,21,8,19,22
"7",8,20,19,27,28,7,7,24,11,2,19,23,6,27,13,5,20,17,28,6,14,13,19,2,4,26,14,24
"8",9,7,22,7,10,9,21,17,8,23,4,10,8,17,10,6,7,7,26,9,4,26,9,4,24,11,23,9
"9",4,8,18,18,19,28,16,3,9,8,14,4,28,13,29,2,28,27,2,18,19,21,10,3,14,20,29,18
"10",15,16,17,30,17,1,1,14,30,13,30,14,30,1,12,15,1,16,30,30,15,15,1,15,30,2,30,15
"11",28,3,16,29,2,14,18,2,1,15,2,15,1,2,3,13,17,15,15,16,28,1,15,16,2,30,17,1
"12",14,27,3,3,3,11,17,29,15,3,18,3,17,14,4,3,27,3,18,28,29,11,20,25,19,15,24,19
"13",27,19,5,20,23,8,6,11,6,17,8,21,11,26,26,4,8,8,5,23,26,22,5,22,22,13,10,21
"14",23,12,26,5,26,26,23,26,26,4,26,8,5,10,11,12,6,14,10,12,22,23,4,19,8,17,6,20
"15",1,14,29,15,30,15,15,1,16,1,1,30,14,16,1,30,11,28,17,29,2,16,13,29,17,12,1,16
"16",30,1,30,2,1,18,14,15,12,14,28,29,16,30,30,16,30,13,29,15,16,30,30,14,16,3,12,17
"17",7,9,9,8,12,6,27,10,24,12,6,20,24,8,21,21,14,4,27,21,25,19,22,7,7,24,4,23
"18",3,21,11,23,6,27,11,23,27,19,10,27,3,12,22,23,23,9,19,14,13,25,6,27,3,10,26,13
"19",6,24,27,10,8,23,10,20,2,21,21,24,25,6,20,8,9,26,22,13,24,7,14,23,26,22,7,11
"20",12,30,20,28,27,13,28,5,18,27,29,1,18,19,27,20,13,5,16,11,18,29,16,28,20,27,16,4
"21",16,29,28,19,13,17,12,13,13,26,17,19,13,5,2,29,3,12,4,4,27,20,28,1,11,14,28,29
"22",5,5,8,25,5,20,9,6,23,18,23,7,22,21,6,7,10,10,8,8,8,8,18,20,12,4,8,26
"23",26,18,23,11,21,22,24,9,7,22,20,17,27,25,9,24,22,6,23,25,9,5,8,21,6,21,25,25
"24",25,25,21,26,4,5,25,22,3,9,9,6,21,11,17,25,24,21,12,10,10,18,12,12,23,7,3,27
"25",22,23,12,24,22,24,19,25,21,25,5,13,26,22,5,11,18,25,21,26,23,28,24,6,13,6,9,8
"26",17,2,1,17,29,16,13,30,14,29,16,22,29,3,18,14,29,1,14,3,3,14,3,11,15,16,2,2
"27",11,11,10,14,18,3,5,19,5,20,27,9,10,7,8,22,25,23,7,24,6,27,27,24,9,25,11,10
"28",13,28,25,13,14,29,3,12,28,11,3,11,9,28,14,17,26,2,3,17,12,3,21,13,28,19,5,7
"29",29,15,2,16,15,30,29,16,29,16,15,16,12,15,15,1,15,30,24,1,1,17,29,30,29,29,18,30
"30",21,22,6,4,24,21,4,7,10,7,7,5,19,9,25,19,5,19,25,5,11,12,23,18,5,9,20,6
