"","V1","V2","V3","V4"
"1",21,25,2,24
"2",19,7,11,13
"3",3,15,5,26
"4",28,13,7,5
"5",5,12,20,15
"6",10,23,9,12
"7",29,8,25,25
"8",16,20,4,1
"9",4,26,12,3
"10",24,18,10,29
"11",23,6,22,2
"12",17,2,18,27
"13",8,5,8,22
"14",30,24,19,9
"15",15,14,23,18
"16",12,1,16,6
"17",2,4,26,11
"18",7,27,27,28
"19",27,28,15,21
"20",25,21,28,14
"21",1,22,17,19
"22",20,11,30,20
"23",26,3,3,17
"24",22,16,14,10
"25",13,10,13,30
"26",6,9,1,8
"27",9,17,29,4
"28",11,19,21,23
"29",14,30,6,16
"30",18,29,24,7
