"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",23,17,5,4,15,20,19,3,22,22,19,7,4,24,6,11
"2",22,18,6,5,12,6,21,23,11,4,12,20,26,2,25,14
"3",1,14,15,17,13,8,11,17,27,11,28,1,28,25,13,1
"4",6,2,25,19,10,4,18,16,2,5,16,24,3,13,7,12
"5",5,21,8,22,8,5,23,5,9,18,25,9,10,17,23,22
"6",9,27,1,12,27,11,26,14,24,14,17,21,23,12,5,25
"7",8,16,28,3,14,13,4,27,4,21,22,12,19,5,10,23
"8",19,3,17,13,6,25,25,9,6,8,11,5,22,23,11,24
"9",7,6,10,14,18,15,8,8,26,3,7,6,7,4,26,20
"10",28,15,19,16,11,28,14,25,28,17,1,28,11,15,4,21
"11",24,10,13,8,25,19,7,19,7,10,27,22,5,19,20,26
"12",27,13,3,21,26,10,17,4,3,9,2,13,15,8,15,2
"13",15,23,22,10,20,7,2,1,10,2,13,14,13,28,1,18
"14",25,28,21,20,19,22,10,15,1,20,18,3,24,14,28,13
"15",12,25,11,15,17,14,27,26,5,26,8,25,8,26,16,4
"16",14,11,26,24,16,18,20,2,18,23,6,23,27,10,21,27
"17",4,22,24,6,24,24,22,21,21,7,5,10,17,18,19,10
"18",17,8,20,25,21,16,24,24,14,12,23,4,9,3,2,7
"19",13,1,2,11,9,27,1,20,13,24,15,8,12,11,22,3
"20",20,20,27,26,5,12,3,13,23,13,10,18,6,21,24,5
"21",10,12,4,28,1,21,16,28,17,1,20,16,16,27,18,19
"22",3,9,7,7,3,17,9,11,8,19,4,19,25,16,3,8
"23",21,5,9,23,23,3,6,22,20,25,9,11,21,20,8,17
"24",16,26,14,2,4,1,13,18,16,15,3,2,2,9,14,28
"25",2,19,16,27,28,26,12,10,12,28,14,17,1,1,12,16
"26",26,7,23,9,2,9,28,12,25,27,26,15,14,7,17,15
"27",18,24,12,18,7,23,5,6,19,6,24,26,20,6,9,9
"28",11,4,18,1,22,2,15,7,15,16,21,27,18,22,27,6
