"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",4,21,12,21,22,8,17,20,12,22,7,23,5,6,6,22,16
"2",20,20,11,17,24,19,8,3,8,17,11,13,24,21,5,1,6
"3",5,8,14,19,14,25,14,7,16,21,2,2,18,8,25,9,1
"4",14,24,10,25,2,3,12,2,22,9,8,17,8,17,24,17,9
"5",12,23,17,6,5,12,6,19,20,3,9,3,25,7,7,8,17
"6",1,2,2,23,10,10,5,15,4,7,3,12,14,26,10,10,14
"7",15,26,7,24,18,23,25,13,3,11,17,6,20,2,13,14,25
"8",8,13,8,5,23,7,16,5,6,4,24,19,16,9,23,6,20
"9",24,9,13,20,12,24,13,23,21,5,23,20,17,22,4,19,21
"10",22,5,19,22,4,5,10,9,13,16,22,8,6,3,15,2,19
"11",13,1,22,26,25,13,20,17,19,25,26,16,26,15,18,12,11
"12",19,3,18,4,20,21,9,22,7,8,6,15,11,4,21,20,8
"13",26,14,1,15,26,14,1,10,15,1,14,1,1,13,17,26,13
"14",2,18,23,14,11,18,22,4,25,6,21,11,13,5,9,24,7
"15",23,22,15,8,7,9,18,14,5,23,20,4,15,25,19,21,4
"16",16,10,24,3,21,11,15,6,24,18,4,7,4,23,11,15,24
"17",6,15,26,16,15,2,7,26,9,14,13,9,22,18,26,23,23
"18",25,17,21,1,13,1,26,11,11,12,1,21,19,12,1,11,12
"19",18,11,4,10,16,6,4,16,26,19,18,25,21,1,12,16,3
"20",9,4,6,7,3,20,23,8,14,15,10,24,23,20,16,25,18
"21",11,7,16,12,8,15,2,1,1,26,15,18,10,10,2,18,26
"22",3,25,20,9,17,22,3,12,18,13,19,22,7,24,20,4,15
"23",7,16,5,2,1,26,11,21,10,20,25,10,2,14,8,13,10
"24",10,6,9,11,19,4,24,24,17,10,16,5,9,19,3,5,5
"25",17,12,25,18,6,17,19,18,2,2,12,26,3,16,14,7,2
"26",21,19,3,13,9,16,21,25,23,24,5,14,12,11,22,3,22
