"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",25,6,10,5,22,22,9,11,18,21,8,9,9,7,10,11,9,5,20,4,7,21,5,23,5,22,11,26
"2",16,16,1,17,13,28,2,14,29,2,3,15,29,1,15,17,17,29,1,29,16,11,17,14,17,29,2,27
"3",27,12,26,28,24,27,27,3,27,12,19,14,3,14,28,27,16,17,2,13,10,27,23,21,12,11,13,11
"4",29,17,29,15,2,16,13,15,2,16,27,27,27,3,16,28,29,2,28,15,1,16,14,15,1,17,28,17
"5",24,3,25,22,19,7,11,7,5,23,5,21,7,8,4,19,12,20,7,20,18,8,9,8,23,9,24,21
"6",17,13,3,27,12,3,18,28,13,20,26,16,10,4,2,3,27,11,12,16,17,25,28,28,27,28,14,16
"7",21,21,6,8,18,8,14,19,25,5,6,26,4,22,8,25,20,6,26,24,22,24,12,18,19,8,10,5
"8",1,2,16,3,15,17,28,17,12,13,2,17,15,15,1,29,28,15,16,3,15,1,29,2,2,3,4,14
"9",10,19,23,12,23,6,24,24,22,22,13,7,24,9,9,21,23,25,6,12,25,18,3,10,6,26,18,4
"10",2,28,12,11,3,26,19,2,10,18,16,13,11,13,3,9,18,4,3,27,3,7,4,19,18,10,17,3
"11",20,9,21,13,9,9,3,26,11,8,18,5,13,23,27,6,25,10,5,23,11,19,6,5,7,4,12,24
"12",5,24,9,19,17,14,10,5,24,25,9,24,25,18,23,4,26,9,9,8,21,17,24,22,10,5,26,22
"13",8,8,22,7,20,23,4,18,7,4,24,25,22,24,7,10,19,21,8,7,9,22,19,20,24,21,22,9
"14",11,27,27,26,25,11,20,8,4,6,17,12,17,27,5,12,11,8,19,21,24,12,21,17,3,24,3,25
"15",12,5,18,21,10,25,21,20,6,17,10,22,21,5,25,7,8,24,24,26,23,20,11,25,9,6,8,6
"16",7,25,7,23,11,19,22,27,9,9,4,19,5,21,17,23,5,19,13,11,4,26,8,9,11,23,25,23
"17",22,22,24,9,8,24,23,9,21,19,23,20,6,20,21,5,24,22,23,6,20,9,13,6,22,25,6,20
"18",15,14,14,29,1,2,1,1,15,29,14,29,19,29,14,15,14,16,18,1,14,29,2,1,14,16,1,1
"19",19,4,4,6,4,4,25,6,19,3,21,18,23,19,20,18,3,13,10,18,19,3,10,27,4,20,21,12
"20",23,10,8,24,27,20,26,23,14,24,7,11,26,25,22,13,21,7,21,22,6,5,20,4,21,18,20,8
"21",18,29,28,1,16,1,17,12,16,15,1,3,28,16,18,1,2,28,17,17,2,28,18,16,28,1,15,15
"22",6,18,5,20,26,5,8,10,8,11,20,8,18,11,24,24,22,23,25,9,8,4,7,24,25,12,7,19
"23",28,20,13,10,5,21,12,25,3,26,12,4,20,26,12,26,6,18,4,10,27,13,27,26,20,13,9,18
"24",14,15,2,2,28,15,16,13,1,1,15,1,2,2,29,2,13,14,14,2,29,14,15,3,16,15,29,2
"25",4,1,15,14,14,12,29,16,23,28,29,2,1,28,11,16,15,27,29,28,12,15,16,29,15,14,27,29
"26",26,23,11,25,7,13,7,21,26,7,22,10,14,10,6,8,7,26,22,5,13,6,22,11,8,7,23,7
"27",13,11,17,16,29,29,15,29,28,14,28,28,16,17,13,14,1,1,15,14,28,2,1,13,29,2,16,28
"28",3,7,20,18,6,18,5,4,20,10,11,6,12,12,19,22,10,3,27,19,26,23,26,7,26,27,19,13
"29",9,26,19,4,21,10,6,22,17,27,25,23,8,6,26,20,4,12,11,25,5,10,25,12,13,19,5,10
