"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,18,5,19,10,25,4,11,11,21,6,26,17,11,23,2,18,27,25
"2",11,9,17,24,30,30,14,27,7,11,3,11,28,14,28,7,11,11,11
"3",6,14,20,6,9,10,24,15,27,26,21,24,29,9,29,22,12,21,4
"4",21,27,21,28,19,27,9,10,28,8,20,16,26,8,15,21,22,3,28
"5",28,24,13,1,24,17,3,26,18,14,5,29,21,25,18,24,21,18,6
"6",19,4,4,4,21,20,21,19,14,25,12,8,9,7,19,5,23,2,3
"7",24,28,8,9,8,28,13,28,6,28,22,15,10,13,8,19,7,28,12
"8",23,2,19,7,13,26,28,23,25,4,16,25,16,29,4,3,14,15,21
"9",14,3,26,2,4,19,2,7,17,10,28,12,20,2,17,12,2,24,16
"10",1,30,1,16,12,14,30,30,16,1,30,13,22,19,21,14,25,9,15
"11",15,10,30,11,17,1,16,29,30,17,2,19,5,17,20,13,24,29,30
"12",12,25,16,3,3,6,25,13,12,12,4,10,7,10,1,28,19,10,23
"13",5,5,23,27,7,12,8,20,5,7,9,17,13,21,6,20,27,19,2
"14",30,15,25,30,15,15,29,8,2,29,7,30,1,1,16,15,15,13,14
"15",8,16,9,5,18,16,6,14,1,6,19,1,2,28,30,17,10,14,29
"16",4,29,24,8,27,11,10,6,22,27,10,14,14,22,10,6,8,8,22
"17",16,11,2,26,29,18,1,17,26,23,29,22,6,18,2,27,13,12,17
"18",7,6,12,20,23,5,22,25,10,16,23,28,18,4,9,18,4,5,26
"19",27,17,29,12,14,3,5,16,8,18,26,4,25,15,3,1,17,6,7
"20",29,12,3,29,2,13,20,18,20,13,11,6,30,23,12,11,9,23,27
"21",9,13,14,14,1,29,15,2,19,15,24,27,3,26,13,9,30,4,8
"22",20,26,18,25,22,7,23,12,13,9,25,20,8,24,22,4,5,26,5
"23",25,8,22,13,26,23,26,4,9,20,27,7,15,20,25,23,26,20,24
"24",3,19,27,18,25,24,19,22,21,2,15,5,4,5,11,26,16,25,9
"25",10,1,11,22,20,2,12,9,15,30,17,9,24,30,14,30,20,30,13
"26",17,21,28,17,5,21,18,21,4,22,13,21,23,27,24,29,3,1,19
"27",13,22,10,21,16,22,27,1,29,19,1,2,19,16,5,16,1,17,1
"28",18,20,7,10,28,9,17,3,3,5,14,23,27,6,7,10,28,22,18
"29",22,23,15,23,6,8,7,24,24,24,18,3,12,3,27,8,29,16,20
"30",26,7,6,15,11,4,11,5,23,3,8,18,11,12,26,25,6,7,10
