"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",13,16,12,15,4,6,15,20,3,2,10,12,9,6,19,16,4,4
"2",2,11,5,5,14,19,16,12,19,11,6,15,12,7,20,2,1,11
"3",6,8,18,3,8,3,7,18,4,6,3,16,11,12,6,4,16,15
"4",9,19,11,1,2,11,19,13,10,20,20,20,20,19,11,12,12,12
"5",1,4,8,12,12,1,2,10,11,9,19,19,3,2,14,19,13,9
"6",18,2,15,17,15,7,9,17,16,16,17,13,14,13,18,7,8,17
"7",12,12,2,19,20,13,12,8,1,19,4,14,10,9,10,20,17,19
"8",4,14,13,16,7,17,5,4,15,5,7,7,16,16,17,18,14,14
"9",17,6,3,4,9,5,3,7,7,14,5,9,18,15,13,13,3,3
"10",10,1,20,20,10,20,20,11,9,10,1,10,1,20,9,10,10,1
"11",16,3,6,6,6,14,17,6,6,4,16,4,6,10,16,6,15,16
"12",19,15,10,13,13,2,18,9,13,8,2,2,19,1,2,8,11,13
"13",20,13,9,14,1,10,8,1,20,12,11,18,8,11,8,1,20,2
"14",15,17,17,2,16,15,6,16,12,15,8,6,4,3,15,11,18,7
"15",5,10,7,18,5,16,4,15,5,17,15,5,15,5,4,5,9,6
"16",14,9,19,8,18,18,10,2,8,3,18,17,17,8,3,14,7,8
"17",3,18,14,11,19,4,11,3,2,13,13,1,7,18,12,3,6,10
"18",11,20,1,10,11,12,1,14,14,1,12,11,2,14,1,9,2,20
"19",8,7,4,9,17,9,14,19,18,7,14,3,13,17,7,17,19,5
"20",7,5,16,7,3,8,13,5,17,18,9,8,5,4,5,15,5,18
