"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",11,13,3,9,18,5,17,3,19,8,2,4,6,17,17,6,8,15,5
"2",21,1,11,21,12,10,22,14,15,2,9,21,22,12,10,10,2,21,9
"3",6,20,1,2,21,9,10,10,11,12,7,11,21,1,11,21,1,1,12
"4",18,8,18,8,3,8,3,4,21,11,3,17,9,3,5,15,9,11,20
"5",12,15,17,10,13,4,2,17,6,14,17,2,20,20,4,8,4,17,16
"6",19,5,7,14,19,14,8,8,2,3,21,12,8,19,19,19,7,10,17
"7",10,2,10,15,4,21,15,2,8,18,12,1,4,8,7,9,3,3,14
"8",1,12,14,1,1,22,1,9,10,1,11,10,12,13,22,1,11,22,11
"9",5,14,21,11,14,11,20,1,9,7,14,22,14,21,13,11,22,2,22
"10",15,19,16,18,15,18,14,6,3,6,6,6,13,6,3,18,16,19,7
"11",22,22,22,12,9,1,21,12,12,22,13,9,1,10,21,22,12,14,13
"12",4,3,13,13,11,2,4,19,14,5,8,7,5,15,8,20,18,5,3
"13",3,9,12,20,22,7,12,22,1,21,1,14,10,9,12,2,13,13,21
"14",9,17,19,17,16,19,7,18,18,9,16,19,3,4,16,7,5,8,8
"15",14,10,15,6,6,17,16,20,5,17,4,16,17,18,18,16,6,6,4
"16",2,21,8,22,2,12,13,11,22,15,22,13,11,22,1,13,10,12,1
"17",17,4,20,3,20,13,11,7,17,20,18,8,18,11,9,3,17,9,2
"18",7,6,9,7,10,16,19,21,20,10,20,3,15,2,14,17,14,18,18
"19",8,7,4,16,8,3,6,5,7,16,15,18,19,5,20,12,19,16,6
"20",13,11,2,5,17,20,9,15,13,19,10,20,2,16,2,14,21,20,15
"21",16,16,5,4,5,6,18,16,4,4,19,15,7,7,6,4,15,7,10
"22",20,18,6,19,7,15,5,13,16,13,5,5,16,14,15,5,20,4,19
