"","V1","V2","V3","V4","V5","V6"
"1",11,28,6,2,14,20
"2",17,3,23,27,20,21
"3",4,14,2,26,11,23
"4",13,10,4,24,27,11
"5",14,24,28,8,12,14
"6",12,8,25,20,4,8
"7",3,16,10,4,5,10
"8",22,9,14,7,1,22
"9",6,11,26,5,18,25
"10",9,6,11,17,8,27
"11",15,17,16,10,28,28
"12",23,19,1,6,19,9
"13",7,18,21,23,2,18
"14",18,13,19,1,10,2
"15",26,5,12,22,13,6
"16",24,27,17,25,7,12
"17",20,25,9,21,22,26
"18",25,7,20,3,26,15
"19",16,23,5,15,3,4
"20",8,4,8,9,23,3
"21",21,15,27,18,24,5
"22",2,22,13,19,25,17
"23",27,21,24,13,9,24
"24",28,12,7,16,17,19
"25",19,2,3,11,6,16
"26",5,26,22,12,21,7
"27",1,1,18,14,15,13
"28",10,20,15,28,16,1
