"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",23,26,10,9,23,22,22,26,7,23,8,4,4,11,20,17,16,26,11,20,23,25
"2",20,20,2,20,3,3,27,19,21,14,2,12,29,16,26,11,10,15,3,12,27,9
"3",29,14,6,17,18,18,29,15,29,16,18,16,18,19,13,1,28,29,20,1,1,29
"4",17,3,9,28,17,10,12,28,3,5,4,20,19,25,22,26,20,23,14,5,9,12
"5",28,29,14,29,14,11,14,7,2,27,16,19,16,13,29,6,9,1,28,29,16,17
"6",11,25,11,5,12,12,11,13,10,8,28,5,25,2,16,3,3,24,15,3,19,3
"7",21,22,4,3,19,26,3,18,15,13,23,22,20,20,14,27,22,8,24,24,26,6
"8",6,18,3,7,4,24,18,5,6,7,7,27,10,22,9,10,11,19,26,10,12,20
"9",8,10,13,6,6,8,23,25,18,22,26,23,22,24,19,16,6,4,12,21,4,26
"10",16,23,21,2,16,7,17,2,22,25,5,6,28,12,4,25,19,11,21,7,7,19
"11",2,28,16,11,13,28,8,20,28,3,15,14,2,14,28,19,14,3,5,2,6,14
"12",3,2,17,15,28,2,2,1,16,2,13,13,21,15,18,14,15,27,29,18,28,27
"13",5,27,26,19,7,16,13,11,26,26,10,29,17,28,17,18,26,28,13,17,21,2
"14",12,21,20,23,8,5,6,24,8,18,21,10,6,23,8,8,24,7,18,6,25,24
"15",1,15,1,14,29,1,16,16,1,28,29,15,11,3,12,29,29,13,2,15,14,16
"16",13,5,5,25,5,25,4,3,20,24,24,3,12,10,21,7,21,17,10,19,8,13
"17",26,8,7,10,11,6,10,9,27,11,17,9,7,26,6,23,7,22,8,27,20,18
"18",7,6,25,4,22,13,28,12,11,12,3,8,8,21,27,4,25,9,16,26,13,11
"19",22,12,23,8,25,4,7,23,23,20,20,28,9,6,24,9,12,21,23,9,11,8
"20",9,16,12,26,24,19,9,22,25,9,6,26,26,5,5,5,18,10,9,25,18,22
"21",18,24,19,22,20,9,24,4,13,4,25,24,5,17,3,12,17,20,4,22,5,5
"22",4,11,22,21,10,27,26,21,4,17,19,11,27,9,7,22,13,25,22,28,10,10
"23",25,7,24,12,9,20,20,6,9,10,22,25,24,7,25,20,23,12,6,8,22,23
"24",14,19,27,27,26,21,21,17,24,6,27,2,14,27,23,24,4,14,25,13,17,21
"25",19,17,28,18,1,15,1,14,12,15,1,18,1,1,15,28,2,16,17,23,2,28
"26",10,4,8,24,21,17,25,8,19,21,12,21,3,8,10,21,5,6,19,4,24,7
"27",27,9,15,13,2,14,19,27,17,1,11,1,13,4,2,15,27,2,27,16,15,1
"28",15,1,29,1,15,29,15,29,14,29,14,17,15,18,1,2,1,18,1,14,29,15
"29",24,13,18,16,27,23,5,10,5,19,9,7,23,29,11,13,8,5,7,11,3,4
