"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",10,27,10,5,18,24,10,3,16,8,16,4,22,22,5,4,4,8,4,16,6
"2",14,15,28,9,1,18,24,16,28,29,13,15,14,18,11,2,29,30,8,3,2
"3",3,14,30,16,29,11,15,30,1,1,11,13,18,1,1,15,14,15,16,30,1
"4",21,3,11,10,20,8,11,20,22,21,22,6,2,27,4,7,27,17,17,27,24
"5",25,10,2,1,3,17,23,15,29,2,28,17,19,9,8,16,12,1,24,20,19
"6",12,5,3,20,10,2,16,18,9,25,3,19,20,17,3,28,7,10,6,8,25
"7",17,24,24,24,7,25,19,6,14,24,5,5,25,7,6,19,24,21,23,25,21
"8",4,11,6,4,5,20,8,7,4,20,10,26,4,4,20,6,18,20,13,12,22
"9",7,6,16,15,11,5,22,5,20,7,4,22,8,20,26,11,25,7,27,24,7
"10",24,2,19,11,8,28,1,22,6,6,2,9,12,15,17,13,3,27,10,23,13
"11",11,18,5,23,26,19,2,14,7,28,26,10,5,16,14,25,21,4,25,22,4
"12",15,4,25,7,19,26,9,21,13,9,20,27,26,8,19,29,28,11,21,5,9
"13",1,30,1,12,30,30,14,17,30,15,1,14,16,30,30,17,22,18,19,10,16
"14",6,25,17,25,9,14,6,26,19,3,27,23,7,21,7,18,23,22,5,6,20
"15",18,8,26,3,27,10,13,4,12,27,29,20,17,23,28,20,13,26,3,21,18
"16",26,13,22,26,28,9,3,10,26,16,6,24,29,11,10,5,20,3,7,14,15
"17",5,19,21,8,6,6,27,25,5,18,21,3,28,28,18,23,19,2,12,17,14
"18",22,26,12,6,25,7,26,24,17,23,7,25,6,10,9,22,5,24,20,13,8
"19",29,23,15,2,14,13,5,29,15,30,9,11,23,19,25,12,15,9,29,2,27
"20",27,7,9,28,12,23,17,28,25,19,17,1,9,2,27,21,17,14,2,15,5
"21",16,28,29,29,2,1,12,19,11,14,19,16,1,12,29,1,1,12,22,18,17
"22",30,29,14,14,16,16,30,1,2,13,15,18,11,14,15,30,30,13,1,29,30
"23",19,12,27,22,23,21,25,11,18,4,8,7,3,25,21,24,8,5,14,4,23
"24",23,22,4,18,22,4,20,12,8,5,24,8,21,6,24,8,26,25,11,7,11
"25",8,21,18,17,21,27,21,23,24,26,23,28,15,5,22,9,6,6,9,26,26
"26",20,20,7,21,4,12,7,13,23,12,12,29,27,26,23,26,9,23,15,28,3
"27",9,16,20,13,17,3,4,8,27,11,18,2,13,3,12,27,10,29,28,11,29
"28",13,9,8,27,24,22,28,27,10,10,14,21,24,24,13,3,16,28,26,19,28
"29",2,1,13,30,15,15,29,2,21,22,30,12,30,13,16,14,2,19,18,1,12
"30",28,17,23,19,13,29,18,9,3,17,25,30,10,29,2,10,11,16,30,9,10
