"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,28,11,24,29,14,12,12
"2",26,23,20,10,26,21,7,3
"3",14,7,12,28,4,24,6,6
"4",6,16,25,2,5,23,8,19
"5",3,9,18,6,21,28,24,13
"6",8,1,14,14,24,17,3,27
"7",10,19,22,27,25,26,17,22
"8",24,11,9,5,11,11,1,11
"9",9,26,15,7,1,9,15,4
"10",17,24,6,22,19,29,2,18
"11",7,13,23,21,12,16,30,1
"12",25,10,10,19,28,22,29,24
"13",21,17,7,26,23,6,25,5
"14",28,21,13,3,18,2,21,20
"15",16,8,30,15,30,8,18,9
"16",19,3,5,1,17,19,16,2
"17",18,2,21,12,3,4,28,17
"18",20,30,19,20,9,7,5,23
"19",11,14,1,8,27,5,9,16
"20",22,6,28,9,13,27,13,25
"21",13,29,2,13,14,25,27,10
"22",15,27,26,4,22,13,26,28
"23",5,5,4,23,7,10,22,21
"24",2,20,27,17,16,3,4,7
"25",1,22,8,11,10,20,19,26
"26",29,4,24,25,20,12,10,14
"27",12,12,17,30,15,1,14,30
"28",27,18,3,16,2,15,11,29
"29",30,15,16,18,8,30,20,8
"30",23,25,29,29,6,18,23,15
