"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",24,17,26,25,5,14,4,19,9,25,24,20,25,8,10,4,6,25,12,23,11,5,25,19
"2",5,28,16,15,3,18,29,3,21,27,18,10,12,28,28,14,22,24,25,17,4,7,29,14
"3",3,13,28,14,28,11,3,2,10,7,15,27,17,24,11,20,25,13,3,9,18,12,28,29
"4",8,8,19,24,23,22,21,23,11,6,6,6,22,9,24,24,5,23,24,10,8,9,12,25
"5",18,10,13,10,16,3,26,28,19,4,27,22,4,6,8,10,26,10,28,19,7,11,20,26
"6",7,7,10,21,14,23,11,26,24,19,20,24,19,23,3,9,4,17,26,6,23,22,27,3
"7",20,5,22,5,24,21,25,10,12,23,25,23,7,27,25,12,7,19,10,20,26,26,10,22
"8",29,30,9,17,15,30,19,1,14,1,19,15,18,2,2,16,2,16,2,15,3,21,2,20
"9",4,19,5,4,26,19,23,12,8,22,9,25,26,10,6,11,19,7,20,24,13,8,5,5
"10",21,11,4,26,6,20,24,18,7,8,8,4,8,25,9,22,24,15,9,21,12,27,26,6
"11",1,14,17,30,18,2,17,20,13,30,17,14,1,1,16,15,30,29,11,12,30,16,1,1
"12",14,1,15,1,1,1,15,15,16,15,1,30,30,30,1,30,14,30,14,14,1,17,16,17
"13",19,4,21,13,8,24,5,7,17,24,3,3,9,4,4,17,21,4,18,7,27,4,14,18
"14",10,25,25,22,11,7,27,24,27,21,10,13,14,22,5,27,10,9,6,26,22,10,9,23
"15",11,26,23,11,9,4,28,9,4,3,4,18,20,7,19,5,12,18,17,4,24,24,22,8
"16",26,6,7,19,12,6,10,5,5,18,11,9,21,21,20,6,28,21,27,27,21,15,6,27
"17",15,27,20,29,30,16,13,16,15,2,29,1,29,29,14,13,15,1,30,30,28,19,18,15
"18",13,23,3,28,10,28,14,11,2,29,28,29,3,15,18,28,13,12,21,2,14,14,17,28
"19",16,2,2,18,29,13,30,13,29,12,30,8,15,14,12,1,16,28,1,1,16,2,13,12
"20",2,18,14,3,2,15,1,17,30,9,13,2,2,16,15,3,3,14,19,16,15,30,3,30
"21",22,24,24,9,25,9,7,25,6,20,22,7,11,19,7,23,18,22,23,5,5,23,7,9
"22",28,12,27,23,4,12,22,14,25,13,21,26,27,11,27,21,23,5,22,8,17,28,4,13
"23",25,20,18,8,22,27,18,21,26,28,7,12,28,20,17,7,29,11,7,3,9,20,23,24
"24",27,16,29,6,20,26,16,4,28,11,12,16,6,12,13,29,11,26,29,28,19,13,24,2
"25",30,15,1,2,17,10,20,30,1,17,16,11,16,17,30,19,1,2,16,13,29,1,30,16
"26",6,3,30,16,13,29,12,29,3,14,14,17,10,13,29,2,17,3,4,29,2,18,15,10
"27",9,9,8,12,19,5,9,6,23,26,23,5,23,5,21,26,9,8,8,22,10,25,21,11
"28",12,22,11,7,7,25,6,22,18,5,26,19,24,18,22,25,27,20,5,18,25,3,8,7
"29",17,29,6,20,27,17,2,27,22,16,2,28,13,3,26,18,20,27,15,25,20,29,19,21
"30",23,21,12,27,21,8,8,8,20,10,5,21,5,26,23,8,8,6,13,11,6,6,11,4
