"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",6,13,16,18,19,4,18,6,3,20,3,4,19,16,15,7,9,17,11,4
"2",5,17,9,7,8,5,19,15,6,11,20,20,4,17,3,18,6,6,9,6
"3",20,14,23,2,7,2,11,2,22,13,7,10,13,18,2,11,22,11,20,9
"4",16,2,12,10,9,14,22,12,2,15,2,22,2,14,22,12,17,16,22,23
"5",18,15,4,3,16,21,7,5,5,7,4,16,9,6,18,9,8,9,4,7
"6",2,6,3,5,17,17,17,7,19,14,10,2,7,9,4,21,15,20,10,15
"7",3,5,17,4,20,7,10,14,16,6,14,17,18,19,21,4,18,7,8,18
"8",13,21,15,12,12,13,12,16,23,2,1,23,22,12,10,23,14,23,1,2
"9",14,19,19,8,13,9,5,17,4,19,18,7,6,5,7,6,20,19,5,17
"10",4,8,21,9,6,10,8,22,8,4,8,5,11,3,19,20,2,14,18,10
"11",23,1,10,13,11,12,1,8,1,1,16,1,23,13,1,13,10,1,12,14
"12",12,12,22,22,10,20,21,9,21,5,21,6,8,15,14,10,3,10,2,22
"13",9,16,6,11,14,6,3,4,20,17,19,19,20,8,16,16,4,15,21,20
"14",22,10,13,1,22,23,13,23,11,23,22,13,14,22,12,14,1,22,14,12
"15",19,7,7,17,4,3,16,20,14,9,6,15,15,7,6,3,5,18,7,19
"16",1,23,11,16,1,15,2,1,12,8,13,14,1,23,13,2,11,21,15,11
"17",17,3,2,19,5,8,6,13,15,21,17,9,10,20,17,19,16,13,3,3
"18",8,18,5,21,15,19,9,21,7,10,5,8,16,21,8,17,19,8,17,21
"19",11,4,18,20,18,16,4,18,18,18,9,18,5,11,5,8,7,4,19,5
"20",10,11,1,14,21,11,23,11,10,3,23,12,12,2,9,1,23,12,23,1
"21",7,9,20,15,2,22,15,3,9,22,12,21,17,4,11,15,21,3,6,13
"22",15,20,8,6,3,18,20,19,17,16,15,3,21,10,20,5,13,5,16,8
"23",21,22,14,23,23,1,14,10,13,12,11,11,3,1,23,22,12,2,13,16
