"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",4,9,9,20,20,8,5,8,14,25,23,22,7,5,5,20,12,5,10,5,19,21,23,21
"2",3,4,23,16,8,19,15,11,7,18,4,23,21,26,25,22,2,11,25,14,18,25,2,16
"3",20,7,6,23,5,25,7,7,8,11,7,9,5,8,21,12,20,22,18,23,24,20,20,8
"4",15,28,15,2,14,10,14,28,11,27,28,12,2,27,27,14,15,2,16,27,16,26,17,1
"5",2,2,18,11,18,17,3,2,18,3,27,27,27,18,14,1,18,19,12,25,11,14,14,2
"6",8,24,5,7,4,11,6,10,23,23,14,6,24,20,20,24,10,20,20,18,6,8,22,22
"7",24,5,21,14,23,6,25,20,20,20,24,18,19,6,24,19,22,23,23,21,21,5,21,17
"8",9,11,11,6,12,5,20,22,26,8,8,19,13,21,9,5,7,24,21,6,23,23,25,7
"9",7,12,24,8,9,9,4,21,19,4,6,8,6,12,23,9,21,7,8,11,20,4,6,23
"10",19,18,17,25,2,4,24,3,12,6,25,17,8,19,26,15,4,25,9,10,8,17,11,26
"11",12,10,26,4,26,22,22,6,4,10,18,7,10,15,10,11,8,3,24,22,10,12,26,25
"12",27,21,28,3,1,26,11,27,13,15,15,28,26,2,13,13,13,17,15,4,25,18,16,27
"13",21,26,20,19,11,2,10,5,25,12,19,3,20,3,6,6,16,9,26,17,12,24,4,12
"14",10,13,27,27,24,21,9,26,27,21,17,10,11,10,16,26,5,26,5,19,13,19,8,6
"15",28,1,14,1,15,15,16,1,15,19,12,2,1,16,2,27,14,28,14,2,14,1,1,13
"16",1,16,12,13,16,28,28,17,16,1,13,1,17,1,28,18,17,14,1,13,1,28,28,14
"17",17,19,1,17,19,27,1,19,17,2,26,13,12,28,3,16,1,15,28,15,27,2,12,15
"18",23,6,4,9,6,23,18,18,22,22,20,21,9,22,8,10,24,12,6,20,4,22,7,20
"19",25,23,25,21,21,18,12,13,24,7,10,24,4,24,18,21,23,8,17,7,3,11,24,9
"20",26,3,3,26,25,3,13,24,9,14,11,4,25,25,17,3,9,10,4,12,15,13,19,19
"21",11,25,2,5,27,1,17,9,3,9,16,26,14,13,19,23,26,16,3,16,26,16,3,11
"22",6,27,10,24,17,16,26,23,10,16,9,25,3,4,11,4,11,18,19,24,7,6,5,18
"23",5,22,22,22,10,20,21,12,6,24,21,5,18,23,7,8,25,21,7,8,22,7,18,10
"24",22,17,19,12,7,7,8,16,2,17,3,20,16,11,4,17,3,13,2,26,9,3,27,3
"25",14,14,13,28,13,14,27,14,28,13,1,14,28,17,1,28,28,1,13,28,28,15,15,28
"26",18,20,7,10,22,24,23,4,21,26,5,16,22,7,22,7,6,4,11,9,17,9,10,5
"27",16,15,16,15,28,13,2,15,1,28,2,15,15,14,15,2,27,27,27,1,2,27,13,24
"28",13,8,8,18,3,12,19,25,5,5,22,11,23,9,12,25,19,6,22,3,5,10,9,4
