"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,11,7,10,13,7,17,4,5,3,1
"2",15,17,13,7,17,10,6,14,1,8,5
"3",8,4,5,11,16,5,2,17,7,12,16
"4",4,9,8,3,14,18,5,13,18,5,11
"5",12,14,6,12,4,15,1,8,12,1,6
"6",16,7,1,14,10,8,8,11,17,17,2
"7",9,12,17,2,5,4,12,18,14,10,3
"8",10,5,12,16,18,14,14,1,15,11,7
"9",2,18,3,17,8,11,15,15,11,9,13
"10",14,2,15,6,11,9,16,10,13,2,18
"11",6,1,10,15,3,2,10,12,2,4,8
"12",18,10,16,18,9,3,4,5,8,6,12
"13",7,13,18,13,12,17,11,9,4,18,15
"14",5,16,11,9,2,6,7,3,16,13,17
"15",11,6,2,1,6,13,9,2,3,7,14
"16",13,15,4,4,15,1,13,6,10,16,9
"17",17,8,9,8,1,16,18,16,6,14,10
"18",1,3,14,5,7,12,3,7,9,15,4
