"","V1","V2","V3","V4","V5","V6","V7"
"1",12,11,1,19,13,21,11
"2",11,5,12,16,21,2,17
"3",7,4,3,3,14,10,3
"4",14,16,9,1,20,17,8
"5",21,21,14,5,12,8,10
"6",2,3,15,18,9,16,9
"7",9,7,19,2,5,3,12
"8",17,14,2,7,8,4,18
"9",4,10,21,8,19,12,6
"10",5,15,10,13,10,1,1
"11",1,18,6,10,17,6,13
"12",3,13,11,4,2,18,16
"13",18,17,20,17,3,11,14
"14",8,19,18,12,15,19,19
"15",6,9,8,21,6,9,20
"16",19,8,13,9,7,20,2
"17",13,1,16,6,11,13,21
"18",20,6,5,14,18,15,15
"19",16,12,17,20,16,5,4
"20",10,20,4,15,4,14,5
"21",15,2,7,11,1,7,7
