"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",13,1,12,1,14,11,22,19,22,17,18,17
"2",11,9,1,10,6,23,11,14,23,1,12,5
"3",22,13,15,22,11,2,7,20,19,20,13,7
"4",8,6,6,8,21,5,17,22,14,7,4,8
"5",17,17,8,15,1,15,2,23,12,6,22,12
"6",18,23,3,20,19,13,16,16,17,12,9,23
"7",3,5,19,19,20,18,9,11,20,8,19,14
"8",4,22,20,2,12,12,8,18,2,3,11,9
"9",1,12,9,14,17,16,20,17,5,22,15,1
"10",7,18,5,5,10,19,5,7,15,19,16,21
"11",20,3,10,12,18,3,6,6,6,2,14,19
"12",16,11,16,3,16,14,4,2,18,10,3,2
"13",14,19,22,17,9,6,19,8,16,5,17,3
"14",21,20,13,7,22,22,14,9,7,14,20,6
"15",6,2,7,21,4,10,3,10,8,13,8,4
"16",19,4,21,9,2,17,18,5,13,21,10,10
"17",9,14,14,23,13,21,23,3,10,4,7,18
"18",15,7,18,16,8,20,10,21,4,15,2,20
"19",23,15,4,4,7,9,21,12,3,9,5,15
"20",10,16,23,11,23,8,1,13,11,23,6,16
"21",12,8,2,18,15,7,12,1,1,18,23,11
"22",5,10,17,6,3,1,15,15,9,11,21,22
"23",2,21,11,13,5,4,13,4,21,16,1,13
