"","V1","V2","V3","V4","V5","V6","V7"
"1",10,2,4,2,14,15,19
"2",1,6,18,11,19,11,20
"3",2,14,7,4,12,3,5
"4",18,17,3,20,9,10,2
"5",21,7,13,5,3,14,4
"6",22,10,6,17,16,6,21
"7",9,22,12,22,20,2,14
"8",14,5,2,9,7,1,13
"9",3,8,9,21,4,17,16
"10",20,4,22,23,13,12,11
"11",19,16,8,6,21,19,17
"12",11,21,5,12,1,20,8
"13",6,12,1,15,23,13,10
"14",16,3,10,13,18,22,6
"15",8,11,23,3,8,21,12
"16",7,1,16,18,6,7,7
"17",4,18,20,16,15,18,3
"18",17,15,21,14,2,4,18
"19",15,20,15,1,17,8,9
"20",5,19,11,7,5,9,22
"21",23,23,17,10,10,16,15
"22",13,13,14,19,11,23,23
"23",12,9,19,8,22,5,1
