"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",22,19,7,10,8,22,6,5,21,11,8,11,5,24,24,24,25,10,23,9,23,22,24,9,17,12
"2",12,11,23,23,5,20,11,22,7,22,9,21,22,25,6,5,11,13,24,8,17,4,25,19,23,5
"3",25,16,11,18,16,27,13,11,3,8,27,13,10,27,18,3,17,5,3,12,3,3,10,27,18,26
"4",13,2,15,17,15,2,19,12,28,2,15,19,12,28,12,2,3,2,12,16,27,27,17,3,9,1
"5",20,23,4,24,18,4,10,24,25,13,22,22,4,11,7,22,7,14,19,21,26,7,12,22,21,22
"6",26,25,19,22,14,3,12,3,4,24,11,18,19,13,17,16,27,25,4,19,20,18,6,4,22,3
"7",23,10,18,25,23,17,24,21,11,19,5,7,6,21,23,13,10,19,6,23,21,24,22,21,4,23
"8",16,1,14,19,11,14,1,28,17,27,16,2,11,1,15,26,12,9,1,17,1,13,27,2,27,14
"9",14,13,28,1,1,28,16,14,15,16,14,27,1,14,14,28,1,28,13,11,15,28,1,16,28,28
"10",17,9,24,16,22,5,20,25,19,4,24,10,24,26,22,19,19,20,26,6,11,16,8,7,25,21
"11",3,4,8,14,24,24,9,8,18,10,10,8,20,7,26,8,6,22,14,18,24,10,5,23,26,8
"12",28,15,13,12,26,15,3,15,1,17,13,12,26,20,2,27,2,3,27,28,12,15,2,14,2,11
"13",19,12,20,11,6,10,8,6,6,7,19,25,8,6,25,7,8,21,22,25,7,9,20,6,7,19
"14",1,28,16,15,28,12,28,1,16,28,28,28,14,16,28,15,14,1,28,14,16,14,28,28,16,15
"15",7,8,17,21,9,8,5,10,10,18,25,6,13,5,5,11,24,8,20,4,22,25,4,18,10,25
"16",27,3,3,26,13,19,26,2,13,1,2,26,27,2,3,17,15,16,17,10,4,19,15,17,15,17
"17",24,21,25,8,17,23,21,7,24,23,21,4,25,8,10,12,4,12,9,2,19,5,18,8,11,18
"18",21,7,9,4,12,26,17,26,23,26,26,16,16,12,13,9,26,24,25,24,10,20,16,24,8,4
"19",5,24,22,13,21,21,4,20,20,6,7,23,21,10,11,10,23,6,8,26,9,26,19,13,20,24
"20",6,5,5,6,7,18,25,19,8,20,17,24,23,19,21,21,22,7,10,20,25,6,9,5,12,20
"21",8,22,10,7,4,6,22,9,9,9,23,5,18,23,4,20,9,17,7,22,8,21,21,20,24,9
"22",9,20,6,9,19,9,23,23,5,25,4,15,7,9,20,4,5,11,18,3,5,23,7,10,19,10
"23",15,14,2,2,27,1,14,16,14,15,1,1,15,15,1,1,28,26,16,15,14,1,26,1,14,27
"24",10,6,21,5,20,7,7,4,22,21,6,20,9,22,9,23,18,18,5,7,6,8,11,25,5,13
"25",4,17,12,20,25,25,18,18,2,5,20,17,3,4,8,25,20,23,11,5,18,12,23,11,6,6
"26",11,26,1,28,2,13,2,17,27,14,18,14,28,18,27,6,13,27,2,1,13,17,14,15,1,16
"27",2,18,26,27,10,16,27,13,26,12,12,3,2,17,16,14,21,15,21,27,2,2,3,12,13,2
"28",18,27,27,3,3,11,15,27,12,3,3,9,17,3,19,18,16,4,15,13,28,11,13,26,3,7
