"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",28,25,9,14,18,4,2,16,5
"2",27,27,7,29,8,19,24,23,16
"3",23,4,4,6,9,8,19,12,24
"4",30,8,29,7,28,15,11,14,11
"5",14,21,2,3,5,22,7,8,10
"6",7,26,17,18,6,7,10,30,23
"7",24,22,13,4,25,27,15,28,19
"8",16,24,23,2,12,14,28,19,30
"9",26,15,18,11,14,28,29,6,4
"10",19,30,19,13,29,20,8,10,25
"11",25,11,20,20,24,3,23,22,27
"12",8,14,24,5,21,5,6,2,18
"13",15,2,15,30,13,11,1,7,21
"14",9,9,14,25,4,6,27,11,6
"15",10,10,10,10,15,25,3,25,28
"16",1,7,6,12,11,2,14,24,12
"17",13,3,26,23,20,21,26,29,17
"18",17,6,8,19,26,24,21,1,8
"19",29,16,12,22,2,16,12,3,29
"20",6,1,16,1,17,18,17,20,1
"21",21,23,28,27,16,1,16,4,13
"22",5,20,5,26,19,29,18,13,26
"23",4,28,11,8,23,12,25,5,14
"24",12,17,1,16,30,9,30,17,20
"25",11,29,25,21,10,26,13,15,2
"26",2,12,30,15,7,23,22,9,22
"27",22,5,22,17,3,30,5,18,15
"28",18,19,27,9,1,10,20,26,7
"29",20,13,3,24,22,13,9,27,3
"30",3,18,21,28,27,17,4,21,9
