"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",14,9,25,15,11,1,3,26,14,25,16,25,16,26,13,16,2,2,11
"2",16,5,7,5,7,21,8,23,6,4,11,23,15,6,12,17,23,21,22
"3",6,16,9,20,17,12,7,24,23,8,19,9,8,24,18,6,24,7,23
"4",24,21,12,4,5,9,22,25,24,19,18,10,11,4,20,15,7,16,6
"5",20,19,20,7,4,6,19,8,20,5,8,18,18,21,4,10,20,6,18
"6",8,8,11,19,3,17,10,7,10,6,3,2,19,5,19,11,3,4,9
"7",21,6,8,21,16,13,17,10,22,10,5,21,6,23,11,23,6,23,3
"8",22,18,10,9,19,19,9,5,8,20,23,20,20,22,21,7,5,20,19
"9",15,13,1,14,22,26,26,1,25,14,13,26,14,1,14,1,15,1,14
"10",4,22,6,3,23,3,4,2,13,3,12,5,13,18,10,18,12,18,7
"11",19,11,2,16,2,5,11,17,11,13,25,1,1,15,3,3,17,24,13
"12",23,15,18,23,10,10,5,3,3,15,15,11,5,2,8,25,10,9,25
"13",25,1,14,26,25,2,23,18,5,1,14,13,24,17,25,12,14,13,15
"14",17,2,22,2,15,22,6,14,21,11,20,7,23,11,6,5,9,11,2
"15",12,7,23,18,21,7,18,6,19,21,21,3,17,7,17,20,22,22,20
"16",2,4,15,13,6,20,24,4,4,23,17,12,9,25,9,9,21,15,5
"17",18,14,21,6,20,23,14,21,7,17,6,4,4,20,22,21,19,5,8
"18",13,24,26,12,14,14,25,16,2,9,2,8,12,14,15,2,1,26,26
"19",26,26,13,17,26,18,1,13,17,26,1,15,10,9,1,13,26,14,12
"20",7,3,5,1,13,4,15,11,15,24,4,17,3,10,24,8,11,10,24
"21",1,12,17,10,1,15,2,15,26,16,9,14,26,16,26,26,16,25,16
"22",9,23,24,25,8,25,12,9,18,2,22,24,2,13,23,14,13,17,10
"23",11,25,3,11,12,11,16,12,1,12,26,16,25,12,16,24,25,3,1
"24",3,10,16,8,24,16,21,19,12,7,24,19,7,8,2,22,4,8,17
"25",10,20,4,24,9,24,20,20,16,22,10,6,22,19,5,19,8,12,21
"26",5,17,19,22,18,8,13,22,9,18,7,22,21,3,7,4,18,19,4
