"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",10,8,15,25,19,1,7,26,6,13,8,2,20,14
"2",3,22,18,7,20,10,9,2,15,8,24,16,24,9
"3",16,15,6,6,8,7,1,20,1,20,25,12,7,11
"4",8,16,5,2,23,18,20,14,17,21,6,3,19,6
"5",5,13,11,12,7,24,2,6,25,14,3,25,21,15
"6",24,24,2,14,21,23,8,24,22,10,14,6,11,16
"7",26,12,21,1,15,26,14,13,5,11,23,18,18,26
"8",7,1,26,13,1,3,19,11,14,18,22,5,12,17
"9",20,11,13,10,16,6,15,8,24,1,20,1,5,3
"10",4,4,17,5,25,16,3,16,11,4,12,11,1,19
"11",9,20,7,20,5,15,11,4,3,3,17,4,17,21
"12",13,5,22,4,9,14,10,25,23,24,16,23,16,4
"13",18,26,24,16,12,17,4,10,8,19,11,9,26,2
"14",22,21,12,15,24,4,18,17,10,25,19,24,22,18
"15",14,25,8,3,10,2,22,7,19,12,10,19,3,20
"16",2,18,20,18,13,9,13,19,21,23,1,8,6,25
"17",12,19,25,11,18,19,21,21,2,2,5,22,9,12
"18",6,23,14,24,4,25,17,23,12,16,18,15,2,5
"19",25,17,19,22,2,5,5,15,18,5,7,20,13,8
"20",21,2,9,19,22,13,12,5,4,17,2,17,4,7
"21",11,7,4,23,17,20,6,9,16,22,21,21,8,23
"22",15,3,10,21,11,21,23,18,20,6,26,10,23,10
"23",1,10,1,17,14,8,26,12,7,9,13,26,14,1
"24",19,6,3,9,3,11,16,22,13,7,4,14,25,24
"25",17,14,23,26,26,12,25,1,26,15,15,13,15,22
"26",23,9,16,8,6,22,24,3,9,26,9,7,10,13
