"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,11,12,5,4,14,10,4,9,1,12,2
"2",17,9,15,10,15,6,2,6,3,4,14,8
"3",3,8,8,3,14,8,17,7,16,16,15,10
"4",8,16,16,8,17,17,12,9,12,7,5,16
"5",11,1,6,7,1,2,9,10,10,6,16,17
"6",13,15,1,1,10,10,4,2,7,11,10,15
"7",7,4,17,2,6,7,3,16,13,10,8,4
"8",9,2,9,16,11,11,7,1,17,5,1,7
"9",15,6,10,4,8,12,16,15,4,3,3,11
"10",2,10,3,13,13,4,5,14,11,2,7,13
"11",6,17,7,17,9,9,11,17,1,8,17,6
"12",5,5,14,15,7,3,14,3,5,13,9,14
"13",12,3,2,12,16,15,13,12,8,12,11,3
"14",14,12,13,14,5,13,6,13,15,15,13,12
"15",16,14,4,11,3,5,15,5,14,9,6,5
"16",10,13,11,6,12,1,8,11,6,17,2,1
"17",4,7,5,9,2,16,1,8,2,14,4,9
