"","V1","V2","V3","V4","V5"
"1",1,17,16,12,20
"2",11,2,19,6,24
"3",4,5,24,13,10
"4",8,13,21,1,13
"5",14,6,6,2,8
"6",21,3,15,20,3
"7",20,19,7,24,14
"8",16,25,12,15,25
"9",9,7,13,25,16
"10",12,16,1,21,9
"11",25,23,14,8,11
"12",3,12,5,19,23
"13",15,14,20,16,1
"14",13,21,25,18,18
"15",23,8,22,22,21
"16",24,11,4,14,5
"17",22,15,10,3,22
"18",17,10,17,9,15
"19",10,20,8,10,2
"20",6,22,3,4,17
"21",18,4,2,11,19
"22",7,1,9,17,12
"23",19,18,23,5,7
"24",2,9,11,7,4
"25",5,24,18,23,6
